lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ms_originations,states_with_originations,priority_match
549300RBN5KM5RUFOE42,,,,unmatched,158,120,15,TN:91;MS:15;AR:7;FL:3;AL:2;NC:2,medium
549300NAIUVHH8SCGC11,,,,unmatched,84,55,15,AL:40;MS:15,low
54930045J8O98TUGTW86,,,,unmatched,907,728,14,LA:609;TX:87;MS:14;FL:6;AL:6;AR:3;NV:1;MI:1;CO:1,medium
5493007CXTOHZ2JBEJ61,,,,unmatched,4205,3270,11,FL:2851;LA:161;AL:85;GA:62;IN:22;TN:18;TX:13;MS:11;NC:9;SC:8,high
549300II7Y8V2KY9TM28,,,,unmatched,401,282,11,LA:250;TX:17;MS:11;AR:1;AL:1;GA:1;FL:1,low
549300PXIFIEPL7D7R86,,,,unmatched,659,447,9,TN:123;NJ:66;TX:40;IL:29;IN:21;FL:19;CO:16;OH:13;GA:13;MS:9,medium
549300BWXUPDS3PDOL40,,,,unmatched,149,139,9,AL:125;MS:9;TN:3;TX:1;FL:1,low
549300ESV371MYVWQV54,,,,unmatched,267,218,9,LA:208;MS:9;AL:1,low
5493004U68X0X5LVHY72,,,,unmatched,47,22,8,LA:12;MS:8;TX:1;AR:1,low
549300RZFHIGIM84KN09,,,,unmatched,941,637,7,TN:606;GA:10;MS:7;AL:7;KY:3;FL:2;SC:1;AR:1,high
549300EAO0HUFDR48U74,,,,unmatched,506,380,7,TX:207;AR:104;LA:47;OK:10;MS:7;CO:2;AL:2;MO:1,medium
549300QAJ2SD5X8T7X10,,,,unmatched,420,352,7,LA:343;MS:7;FL:1;TN:1,low
549300OMHGOGEWTCI138,,,,unmatched,204,193,7,LA:184;MS:7;FL:1;AL:1,low
DX0JX77PRMOELF7VG772,,,,unmatched,7684,4949,6,GA:2576;AL:1016;FL:752;SC:458;TN:115;NC:24;MS:6;TX:1;OR:1,high
549300XSS1CPK8G7B851,,,,unmatched,1792,1464,6,AL:596;FL:426;TN:153;SC:115;GA:75;NC:54;VA:16;MS:6;TX:5;IN:3,high
549300P3JUY6QMZ8DY86,,,,unmatched,473,390,6,TN:375;MS:6;KY:3;FL:2;AR:2;AL:1;MO:1,medium
549300BWFA5UY7H4WJ62,,,,unmatched,2298,1845,6,VA:1514;NC:198;WV:52;MD:34;SC:19;FL:10;MS:6;GA:4;PA:3;TN:2,medium
5493003QDHMW1W0GEH16,,,,unmatched,238,173,6,TN:159;MS:6;AR:2;FL:2;UT:1;AL:1;NC:1;KY:1,medium
549300KR4ZW8KJC82O47,,,,unmatched,529,433,6,KS:224;MO:42;TX:27;AK:15;TN:13;FL:11;CO:8;MS:6;VA:6;NC:6,medium
5493006QG55R8V712J33,,,,unmatched,1288,864,6,LA:819;TX:10;VA:7;FL:6;MS:6;AL:5;CO:2;AR:2;NC:2;MO:1,medium
549300A7W1NQ3BYZCB68,,,,unmatched,1239,924,6,AL:895;TN:11;MS:6;FL:4;MO:2;GA:2;KS:1;NC:1;TX:1;IL:1,medium
254900ZKVJDEYHV22276,,,,unmatched,449,404,6,LA:374;FL:10;MS:6;AL:3;TN:3;TX:3;MA:2;NM:1;VA:1;ME:1,low
5493006GFSNOUCCL1W91,,,,unmatched,55,38,6,LA:32;MS:6,low
2549000VVDQ9NNW01Q23,,,,unmatched,666,607,5,AL:513;TN:88;MS:5;SC:1,medium
549300ROGHTFGYNKE773,,,,unmatched,1836,1328,5,AL:1293;GA:11;TN:6;MS:5;FL:3;NC:3;TX:2;OH:1;MO:1;LA:1,medium
549300KPBBGW1ZTEPR29,,,,unmatched,85,62,5,LA:55;MS:5;OK:1;GA:1,low
549300DMHEHNYZ2OLB41,,,,unmatched,9837,6705,4,OK:3985;TX:2615;FL:12;AR:10;CO:9;CA:6;NM:6;UT:5;MS:4;KS:4,high
