lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,il_originations,states_with_originations,priority_match,illinois_originations
549300DL7AWRPX6NXO12,,,,unmatched,251,209,184,IL:184;FL:6;WI:5;TN:4;TX:3;CO:1;OH:1;MO:1;IN:1;KS:1,low,184
549300UXTDELQS5SLF91,,,,unmatched,3715,2783,183,IA:1990;WI:545;IL:183;MN:16;MO:9;FL:9;AZ:4;WA:4;MI:2;NE:2,medium,183
549300A03BP6F4DI7N56,,,,unmatched,304,187,183,IL:183;MO:4,low,183
549300B4IYL7TZT8FA34,,,,unmatched,8795,6038,180,ID:1793;WA:655;CA:637;GA:512;NV:349;OR:242;MO:196;UT:193;TX:184;IL:180,high,180
5493002GOGIUXB84JB89,,,,unmatched,225,202,178,IL:178;MO:21;FL:2;TN:1,low,178
549300XZ4R55J9UKB235,,,,unmatched,256,235,177,IL:177;MI:17;NJ:14;IN:9;CT:7;FL:5;NY:3;MA:2;PA:1,low,177
549300BBKMRS6J0CB539,,,,unmatched,4005,2955,171,TX:2153;IL:171;VA:119;IN:117;FL:102;OK:88;MO:56;NV:25;AZ:14;AL:13,high,171
984500P059VACEAAFA22,,,,unmatched,1434,875,170,IL:170;TX:127;NC:111;MD:62;IN:47;CA:38;WI:32;OH:30;FL:28;GA:24,medium,170
549300EKFFG3BU8DNX74,,,,unmatched,10644,5793,168,CA:1752;FL:672;TX:565;AZ:358;WA:190;GA:182;NJ:179;IL:168;PA:142;CO:119,high,168
549300TFL8UPEHU61608,,,,unmatched,217,174,164,IL:164;MO:6;FL:3;KY:1,low,164
254900N4XMPM37K77D58,,,,unmatched,188,164,164,IL:164,low,164
Q708HHR4LD2B7XIZNO92,,,,unmatched,7944,4687,163,FL:899;GA:410;SC:336;NC:251;TX:177;WI:176;IL:163;MO:154;VA:147;MN:131,high,163
5493002Q5MB21VG7B390,,,,unmatched,284,253,163,IL:163;OH:54;WI:35;IN:1,low,163
5493002L7I6EYKW3NG91,,,,unmatched,274,201,157,IL:157;IA:44,low,157
549300HSB39FXRFMW540,,,,unmatched,681,557,155,IA:402;IL:155,medium,155
549300CSKW4TNZHEOO36,,,,unmatched,201,173,152,IL:152;MO:16;FL:1;MI:1;TN:1;AL:1;OK:1,low,152
549300HC145ABINEFL26,,,,unmatched,195,165,151,IL:151;IN:7;FL:4;MI:1;IA:1;CO:1,low,151
CKVBED0S4DMLKJJ5XH28,,,,unmatched,5127,4497,150,MO:1522;CA:364;FL:265;IL:150;TX:142;NY:138;NC:122;NJ:119;GA:115;CO:104,high,150
549300OPB0G5OMY0SM65,,,,unmatched,5481,3822,149,CA:2430;TX:253;GA:163;FL:151;IL:149;NV:127;MD:73;VA:71;NJ:70;PA:44,high,149
549300PQLK8E48ILXV41,,,,unmatched,7850,4388,149,CA:533;FL:421;MI:227;TX:213;LA:192;AZ:190;MO:161;GA:156;NC:154;IL:149,high,149
549300BK51FTOVBDMC15,,,,unmatched,195,156,149,IL:149;MO:5;KY:1;FL:1,low,149
549300XOWUPV4E45EE89,,,,unmatched,185,151,148,IL:148;TX:1;FL:1;SC:1,low,148
254900UAJ26M2YIF0822,,,,unmatched,173,146,143,IL:143;MO:2;FL:1,low,143
254900E3R2YX26OH3128,,,,unmatched,275,151,143,IL:143;IN:5;MO:2;WI:1,low,143
IUGPUX5LWRZ3B6KIZ697,,,,unmatched,18359,13184,140,GA:5627;SC:1857;FL:1846;VA:724;NC:634;CA:484;MD:455;TN:394;AL:363;IL:140,high,140
549300JRDBJ5RPA6TY76,,,,unmatched,180,148,140,IL:140;WI:4;FL:2;IN:1;OH:1,low,140
549300MEMKSF7703ZQ25,,,,unmatched,215,190,137,IL:137;KY:53,low,137
254900T1NXF0ZR9PMX05,,,,unmatched,208,135,135,IL:135,low,135
5493008OT4ENLBQE0648,,,,unmatched,158,134,134,IL:134,low,134
5493000TY1MM1LLTM666,,,,unmatched,223,132,132,IL:132,low,132
549300BXWU32AYWT1A56,,,,unmatched,2637,1675,131,TX:257;MI:227;NY:161;MN:157;IL:131;NJ:90;PA:86;CA:70;OH:68;VA:66,high,131
254900KE9OJJUH139Q12,,,,unmatched,170,140,131,IL:131;WI:6;MI:1;AR:1;FL:1,low,131
254900XIJWVBUNAUBG18,,,,unmatched,131,131,131,IL:131,low,131
9LIMABRJ9VPV74PBJB17,,,,unmatched,187,155,128,IL:128;CA:5;IN:4;FL:3;IA:3;WI:3;MI:2;MT:2;AL:2;AZ:1,low,128
549300X4P2GHQNMZGO79,,,,unmatched,3556,2562,127,MI:2215;IL:127;WI:105;OH:73;FL:19;IA:14;IN:3;GA:2;NC:1;TN:1,medium,127
549300T67186NPGCHI50,,,,unmatched,4653,2565,125,MO:2430;IL:125;FL:7;AR:2;AL:1,medium,125
5493002CAA1SKNHHUI24,,,,unmatched,361,175,125,IL:125;AZ:12;MI:10;NY:7;PA:5;DE:5;NJ:4;FL:2;ID:1;IN:1,low,125
549300Q50XCC0473FG63,,,,unmatched,10408,5048,123,CA:1243;NY:460;FL:389;NJ:308;AZ:246;WA:207;VA:171;NC:137;TN:136;IL:123,high,123
549300JKZP45L168QC29,,,,unmatched,131,127,123,IL:123;IN:2;KY:1;FL:1,low,123
254900CIEUZUO7CHPG88,,,,unmatched,5075,4028,121,WI:3632;MI:260;IL:121;FL:8;MN:5;AZ:2,medium,121
254900TO7P4MVLV70225,,,,unmatched,144,136,119,IL:119;IN:5;FL:4;CO:2;MN:1;KS:1;MO:1;TX:1;WI:1;AZ:1,low,119
5493007NQFYTLJ0O4M47,,,,unmatched,156,119,119,IL:119,low,119
549300Z4ZK628DTL4L52,,,,unmatched,204,123,118,IL:118;IA:2;MO:1;AZ:1;FL:1,low,118
254900M3DBBSBUPR5L27,,,,unmatched,430,284,117,IA:143;IL:117;WI:24,low,117
5493009KSPF2426CPQ08,,,,unmatched,122,122,117,IL:117;IN:5,low,117
549300AQ83ZR1PW5DB53,,,,unmatched,263,222,115,IL:115;IA:94;WI:3;MI:3;MO:2;TX:1;NJ:1;OH:1;FL:1;AZ:1,low,115
549300VLXW0YGTWFT173,,,,unmatched,173,115,115,IL:115,low,115
2549003SD8SH7JXN6S72,,,,unmatched,170,138,114,IL:114;MO:13;OH:4;IA:1;FL:1;CA:1;CO:1;TN:1;MI:1;IN:1,low,114
549300KTR1JGH3K6LU06,,,,unmatched,17668,7240,112,NY:4085;CA:552;FL:358;NJ:336;GA:195;NC:136;CT:119;PA:113;IL:112;WA:111,high,112
984500F6E6940CCB6A60,,,,unmatched,4550,2966,112,NY:532;TX:458;CA:403;NJ:403;FL:227;IL:112;GA:76;TN:75;PA:70;MO:58,high,112
254900KX4PZDHAK8I871,,,,unmatched,115,111,111,IL:111,low,111
5493007L4GYNO2PUBS09,,,,unmatched,3256,1295,110,MI:318;TX:156;GA:146;IL:110;IN:109;WA:89;PA:65;FL:44;NJ:35;OR:29,medium,110
549300WXIUJ8ZTV7X921,,,,unmatched,173,113,110,IL:110;KY:2;IN:1,low,110
54930001LYHHRVGJ6B97,,,,unmatched,139,124,108,IL:108;WI:7;TX:3;FL:2;IN:1;SC:1;NH:1;NC:1,low,108
549300OEWY869SOVHF18,,,,unmatched,149,112,107,IL:107;AR:2;WI:2;IN:1,low,107
549300UR5AOWTJJ7KZ64,,,,unmatched,5432,3529,106,FL:505;CA:468;TX:301;UT:146;AZ:133;GA:129;MA:119;SC:118;WA:111;IL:106,high,106
549300KTBKVRBY302A16,,,,unmatched,195,127,106,IL:106;MO:16;KY:4;FL:1,low,106
549300UHEEV73TKCZY62,,,,unmatched,440,327,105,CA:144;IL:105;WI:36;WA:25;CT:17,medium,105
549300UV5JQXLGVWIP44,,,,unmatched,582,332,105,IL:105;TX:61;CA:20;MN:19;OH:13;UT:10;WA:10;GA:10;LA:9;VA:9,medium,105
549300C1KJJH2Y73E274,,,,unmatched,151,105,105,IL:105,low,105
5493004RLLKTQS8K7U51,,,,unmatched,3878,2099,104,TX:639;FL:282;OK:185;NC:127;IL:104;AZ:96;NY:78;CA:78;NJ:51;MA:42,high,104
VNOO6EITDJ2YUEBMSZ83,,,,unmatched,4454,2686,104,MO:808;KS:496;CO:407;AZ:328;IL:104;TX:102;NM:97;WI:83;IA:55;CA:52,medium,104
549300ZJ52ZRS3Q0S589,,,,unmatched,115,113,104,IL:104;MO:8;FL:1,low,104
CLHA5EVJO4FMZ2WOBV70,,,,unmatched,177,151,101,IL:101;CA:19;FL:8;UT:6;WI:2;MN:2;MT:2;MO:2;MI:1;NC:1,low,101
549300FVD3YHE65PKH97,,,,unmatched,3373,2007,99,NV:336;TX:274;CA:216;NJ:193;CO:156;FL:134;IN:120;GA:117;OK:106;IL:99,high,99
254900LD3DEBFTITLD76,,,,unmatched,108,103,99,IL:99;IA:2;AZ:1;WI:1,low,99
254900ZOIZTP7ZF6AH17,,,,unmatched,111,103,96,IL:96;WI:4;WY:1;SC:1;TN:1,low,96
54930035X20L4YB6HD91,,,,unmatched,98,97,96,IL:96;IN:1,low,96
549300GSCUJKJINRJ980,,,,unmatched,13152,9934,95,IN:6870;OH:1793;MI:794;KY:194;IL:95;GA:41;FL:36;AL:23;NC:19;SC:13,high,95
MV4O55SH8HO6KQSGW013,,,,unmatched,10539,7073,95,OH:2850;IN:2821;KY:1239;IL:95;FL:31;MI:9;SC:7;NC:6;TN:5;GA:2,high,95
549300Y7HCU10KIRLG30,,,,unmatched,602,439,95,IN:331;IL:95;FL:5;GA:2;MI:2;CA:1;VA:1;ND:1;AL:1,low,95
549300WRDGBHKR1BXL98,,,,unmatched,1383,1014,93,IN:369;MA:146;OH:100;IL:93;MO:82;LA:49;FL:23;TX:13;NY:10;GA:10,medium,93
549300DRA4BDXW23LD45,,,,unmatched,2210,1609,93,MN:624;WI:301;IL:93;MT:72;IN:54;IA:47;NE:45;OH:42;OK:40;SD:29,medium,93
549300BGIT0LFI12Z304,,,,unmatched,116,96,92,IL:92;IA:1;WY:1;TX:1;MI:1,low,92
549300CW5TQ2ILVQPH09,,,,unmatched,106,93,92,IL:92;KY:1,low,92
549300YDBNK66R6ZES34,,,,unmatched,2287,1508,91,MO:1183;IL:91;FL:43;OH:33;TX:23;GA:18;CA:17;CO:14;NY:12;VA:12,medium,91
5493005ITNB06W8ZHD39,,,,unmatched,114,97,91,IL:91;IN:2;FL:2;MI:2,low,91
254900L9ZR7FYE68H705,,,,unmatched,131,104,91,IL:91;MO:12;FL:1,low,91
254900NZOY3XB2DNSZ34,,,,unmatched,2542,1799,89,CA:437;NJ:170;FL:130;MA:120;NY:99;WA:95;IL:89;CT:63;GA:61;PA:51,high,89
5493002OMAT2S3H4OF48,,,,unmatched,133,100,89,IL:89;WI:7;NV:1;FL:1;TN:1;AL:1,low,89
254900KI0CM65KPBM547,,,,unmatched,125,100,88,IL:88;NY:10;MA:1;NJ:1,low,88
549300EES32R2VOEK894,,,,unmatched,589,402,88,IA:98;WI:90;IL:88;OH:53;IN:31;KS:19;MI:15;MO:7;NE:1,low,88
54930072OCHTUJOZQB56,,,,unmatched,7424,5784,86,IN:1919;KY:1771;TN:641;GA:214;FL:211;CO:151;NC:94;SC:94;MS:90;IL:86,high,86
25490076YOMAEM6W0N66,,,,unmatched,92,87,86,IL:86;FL:1,low,86
549300HXQLIV5UBQEF05,,,,unmatched,163,85,85,IL:85,low,85
549300W424PDJPNFLY60,,,,unmatched,89,85,84,IL:84;IN:1,low,84
549300NGCDNC9174EF79,,,,unmatched,418,213,81,IL:81;IN:33;MO:30;UT:26;KY:20;AZ:15;TN:3;WA:2;FL:1;OH:1,low,81
5493006IBJS6XC0DFJ29,,,,unmatched,111,94,81,IL:81;IN:10;MO:1;NE:1;WI:1,low,81
549300DYVAMYTMH9UV09,,,,unmatched,94,82,81,IL:81;CO:1,low,81
5493001SSNVCONGBH947,,,,unmatched,420,324,80,WI:240;IL:80;FL:2;AZ:1;TX:1,low,80
549300ZTG888WY6L8M95,,,,unmatched,114,88,80,IL:80;WI:8,low,80
549300H12E7AUMUHP294,,,,unmatched,1980,1256,79,NJ:374;PA:297;MD:111;FL:88;IL:79;NC:59;VA:35;NY:25;DE:24;TX:21,high,79
5493005OG185XV8M8N52,,,,unmatched,85,78,78,IL:78,low,78
54930053SM8COVIPIY54,,,,unmatched,4530,2747,77,MI:2551;IL:77;FL:25;OH:23;IN:17;WI:15;NC:7;AZ:6;TN:6;OR:6,medium,77
5493004MWCDBCBTXE044,,,,unmatched,176,155,76,IL:76;CA:29;FL:25;MN:6;MT:4;WI:3;NC:2;TN:2;MI:2;MA:1,medium,76
549300DFV63SJPNIII97,,,,unmatched,249,227,76,MO:150;IL:76;IA:1,low,76
549300DCGBXW5FJMV921,,,,unmatched,3255,3255,75,CA:2145;CO:168;TX:163;GA:124;WA:96;FL:94;IL:75;VA:60;MD:57;NJ:49,high,75
549300GY0I1WYYWYFS47,,,,unmatched,149,112,75,IL:75;IN:22;MI:5;OH:5;FL:2;MO:1;WI:1;NC:1,low,75
549300DUTN4RUBI81Z18,,,,unmatched,103,79,75,IL:75;CO:2;FL:1;WI:1,low,75
254900CN1DD55MJDFH69,,,,unmatched,12013,8896,74,WI:8766;IL:74;MN:56,high,74
254900RO87UFWPI72M63,,,,unmatched,224,164,74,WI:90;IL:74,low,74
2549007AU24FVDMNUB40,,,,unmatched,2422,749,72,WI:262;IL:72;MN:69;CA:43;GA:29;FL:25;IN:19;NC:19;OH:19;CO:16,medium,72
549300UM6HPORF7X4415,,,,unmatched,121,103,72,IL:72;IN:5;OR:3;WI:2;WA:2;AL:2;GA:2;IA:2;SC:2;TN:2,low,72
549300BY08MY8QNSPU50,,,,unmatched,92,85,71,IL:71;MO:8;AL:2;FL:2;KS:1;PA:1,low,71
549300FQ2SN6TRRGB032,,,,unmatched,88,71,71,IL:71,low,71
5493005QZNPGRQNTRB15,,,,unmatched,88,74,69,IL:69;FL:3;MO:1;SC:1,low,69
549300UF3FPC7U6RFC59,,,,unmatched,10804,7285,68,MO:4768;CO:733;OK:544;KS:353;NC:269;AR:104;FL:91;IL:68;IA:46;TX:35,high,68
549300VJ2DUIQKBO9U08,,,,unmatched,86,66,66,IL:66,low,66
549300COR6KN4QP42U93,,,,unmatched,95,67,64,IL:64;WI:1;AZ:1;FL:1,low,64
2549004Z576VEJBK3N72,,,,unmatched,4063,2542,63,FL:640;CA:361;NY:343;NJ:236;TX:128;GA:98;AZ:69;PA:63;IL:63;MA:60,high,63
54930010ZG6EHTCJ1L21,,,,unmatched,171,138,63,IL:63;CA:34;IN:16;AZ:7;IA:3;ND:3;MT:2;MI:2;FL:2;MN:1,low,63
254900FTCNECUOWATD22,,,,unmatched,71,64,63,IL:63;MO:1,low,63
KD3XUN7C6T14HNAYLU02,,,,unmatched,1637,1015,62,CA:220;NY:91;FL:83;TX:82;IL:62;MA:49;CO:33;UT:31;WA:30;NJ:25,high,62
254900UISKR0QR32CI62,,,,unmatched,72,64,62,IL:62;FL:1;WI:1,low,62
549300YB1H2FRI6JPM51,,,,unmatched,18732,14279,61,MI:12864;FL:1196;OH:66;IL:61;IN:47;WI:33;TN:3;SC:3;MN:2;NC:1,high,61
IWRZQFYIRJ0IMURZBB68,,,,unmatched,3907,3194,61,WI:3047;IL:61;MN:16;FL:14;AZ:11;NC:6;TX:5;CO:5;MI:5;IN:4,medium,61
254900CHU7PX7ZS6RI74,,,,unmatched,99,73,60,IL:60;MO:12;FL:1,low,60
2549005HG8EMM4748S60,,,,unmatched,64,61,60,IL:60;NC:1,low,60
549300JY7AI2T0M8WT17,,,,unmatched,65,59,59,IL:59,low,59
549300DX0B304LAKUN93,,,,unmatched,1176,911,58,MO:521;PA:228;IL:58;KS:48;IN:41;OH:4;TN:3;CO:3;FL:2;OR:2,medium,58
549300TWHZRVTZ8RYT46,,,,unmatched,1330,906,58,IN:835;IL:58;FL:6;MI:1;GA:1;AZ:1;MN:1;OH:1;TN:1;OK:1,medium,58
549300T3MSPBPSPZLR85,,,,unmatched,81,64,57,IL:57;IN:3;FL:2;TN:1;GA:1,low,57
549300PM3R14MRQSOJ39,,,,unmatched,59,59,57,IL:57;MO:2,low,57
549300DNWSJUNAWUM003,,,,unmatched,2522,1388,56,NC:247;VA:226;MD:209;PA:92;SC:63;NY:60;FL:57;IL:56;KY:39;DC:34,high,56
549300K35KPBBS2J9A28,,,,unmatched,88,58,56,IL:56;CA:1;MO:1,low,56
549300A5HHOL2ED18C72,,,,unmatched,6706,3194,55,CA:1372;FL:389;TX:211;LA:85;WI:71;MD:62;OH:61;NC:58;MI:55;IL:55,high,55
254900RM3T6WAVE6SA24,,,,unmatched,2446,1847,55,TX:892;NC:100;AZ:97;LA:86;FL:84;CO:83;OK:74;IL:55;GA:54;CA:36,high,55
549300ISCZS1R0CJMO47,,,,unmatched,2117,1726,55,TX:255;NC:107;FL:104;GA:77;TN:70;MI:69;PA:67;SC:66;MO:58;IL:55,high,55
01ERPZV3DOLNXY2MLB90,,,,unmatched,150,121,55,IL:55;CA:21;FL:7;WI:7;IA:6;MT:5;AZ:4;MN:3;MI:3;ND:2,low,55
549300P7J9S1WSW4VU68,,,,unmatched,119,102,55,IL:55;CA:19;MN:5;FL:5;WI:4;MT:4;NC:2;AZ:2;IN:2;WA:1,low,55
254900LP2WHZQ61VBS60,,,,unmatched,140,104,55,IL:55;MO:10;IN:6;AZ:6;OH:5;TX:4;WI:3;MA:3;CA:2;TN:2,low,55
21380054U5NKZKBQ4128,,,,unmatched,68,55,54,IL:54;IN:1,low,54
549300JRDGV1559XM376,,,,unmatched,1517,904,53,NE:217;AZ:92;ID:85;TX:59;TN:59;CO:55;IL:53;IA:48;UT:47;CA:45,medium,53
254900XX2FPZR1Y4FO11,,,,unmatched,63,53,53,IL:53,low,53
54930041S7CZYMJ4CH46,,,,unmatched,62,53,53,IL:53,low,53
549300JPGMCMBEJEK584,,,,unmatched,8289,3877,52,MA:1769;NH:651;GA:184;NJ:153;CA:148;FL:94;TX:89;VA:64;IL:52;PA:51,high,52
S0Q3AHZRL5K6VQE35M07,,,,unmatched,8529,5621,50,IN:3248;MI:1861;OH:327;IL:50;FL:50;AZ:10;TN:8;SC:8;GA:6;NC:6,high,50
549300KZRQ03T8H2Y769,,,,unmatched,92,59,50,IL:50;WI:9,low,50
549300QV6YJK6ZDZPV54,,,,unmatched,68,50,50,IL:50,low,50
5493003B20KZ3DEZGB43,,,,unmatched,999,653,49,NY:297;CA:239;IL:49;NJ:34;NV:18;HI:8;LA:2;FL:2;AZ:1;NC:1,high,49
549300S5LHMBX3WRT314,,,,unmatched,123,97,49,IL:49;CA:24;IA:5;AZ:4;NC:3;WI:2;ND:2;FL:2;WY:1;MT:1,low,49
549300B92DSVIKGP5T53,,,,unmatched,54,49,49,IL:49,low,49
549300U8Y61UKDC5ZF50,,,,unmatched,49,49,49,IL:49,low,49
5493000IIYWBLONJVJ30,,,,unmatched,2370,1430,48,CA:173;TX:112;FL:91;NC:78;WA:59;MI:55;GA:50;IL:48;MN:48;PA:46,high,48
254900DSZI6CJXJL6Z14,,,,unmatched,1590,921,48,TX:168;FL:93;GA:66;NC:60;OH:60;IL:48;PA:46;NY:32;TN:29;MI:27,high,48
3HICJPQ15PGZSBFDNJ82,,,,unmatched,103,90,48,IL:48;CA:10;WI:6;FL:6;AZ:5;MN:5;MT:4;TX:1;MI:1;SC:1,low,48
549300UDBUNBNEKR8J69,,,,unmatched,115,87,47,IL:47;CA:16;WI:4;FL:4;MT:4;UT:3;AZ:2;MN:2;MA:2;ND:1,low,47
549300FOO7XNZ1564N12,,,,unmatched,89,65,47,IL:47;CA:8;MT:2;MN:2;NC:1;NJ:1;IN:1;AZ:1;IA:1;OH:1,low,47
254900NTAC4H10MGSU23,,,,unmatched,15897,11414,46,WI:11322;IL:46;MN:14;FL:13;MI:8;CO:6;AZ:5,high,46
2549002VH9C0PKB8K153,,,,unmatched,5687,3056,45,CA:933;NY:575;FL:388;NJ:317;TX:139;CT:89;PA:69;MA:49;GA:47;IL:45,high,45
254900LIEBWBUKVDWP33,,,,unmatched,316,274,45,IA:222;IL:45;WI:7,low,45
549300P6ZERWX5BPWX45,,,,unmatched,1021,744,44,WI:695;IL:44;MN:4;MI:1,medium,44
549300MMQJ2MM37FDE66,,,,unmatched,274,269,44,IA:173;MO:52;IL:44,low,44
6PTKHDJ8HDUF78PFWH30,,,,unmatched,338,289,43,FL:55;IL:43;CA:35;TX:20;CO:17;WI:14;GA:8;NJ:7;WA:6;UT:6,medium,43
549300OVUSU8E87XZV67,,,,unmatched,90,51,43,IL:43;IN:5;KY:1;MO:1;TN:1,low,43
549300XYHH9IPC6FQW89,,,,unmatched,52,45,43,IL:43;FL:1;MO:1,low,43
254900TY6UTJ321IPS13,,,,unmatched,70,50,43,IL:43;WI:7,low,43
984500CD6F0743B8F530,,,,unmatched,1261,998,42,GA:124;OH:116;PA:74;FL:61;IN:50;TN:49;NC:48;IL:42;VA:37;MI:32,medium,42
549300228GG3C6SV3C98,,,,unmatched,60,55,42,IL:42;WI:3;AL:3;IN:1;PR:1;WA:1;MO:1;MI:1;SC:1;NC:1,low,42
549300BOXNV8VLRBDT24,,,,unmatched,2879,1363,41,CA:220;TX:86;NC:59;AZ:58;FL:51;GA:45;WA:44;TN:44;IL:41;OH:40,high,41
5493000H6DFDDJRORG89,,,,unmatched,2371,742,41,CA:208;TX:79;NV:69;NJ:60;FL:44;AZ:44;NC:43;IL:41;WA:30;SC:25,high,41
549300DT7WZ1SOTNFJ62,,,,unmatched,2457,1688,41,MO:648;CA:379;NE:340;KS:171;IL:41;TX:14;IA:12;NV:10;OK:10;CO:8,medium,41
254900BBWJ82FQDQ6823,,,,unmatched,1820,1189,40,NJ:262;TN:132;TX:94;PA:71;SC:70;FL:69;NY:68;MA:61;NC:57;IL:40,high,40
549300QYV7W4MRNEFK89,,,,unmatched,770,720,40,IN:678;IL:40;NC:1;GA:1,medium,40
549300QWYPPH283K6R36,,,,unmatched,69,58,40,IL:40;IN:17;GA:1,low,40
213800GF3VF8WSF5Q651,,,,unmatched,44,42,39,IL:39;WI:2;IN:1,low,39
2549009PABKV8ZBDH619,,,,unmatched,60,39,39,IL:39,low,39
549300IJO7NO6VDZPD35,,,,unmatched,3250,2460,38,OK:667;TX:660;MI:649;MD:231;CO:39;IL:38;AZ:26;FL:25;VA:19;PA:19,high,38
549300QIUZLVR1OLDH55,,,,unmatched,5610,3566,38,MI:2770;MN:136;CA:132;FL:99;PA:39;IL:38;GA:35;NC:34;NJ:30;OH:29,medium,38
549300C1ICNCM0V37Y02,,,,unmatched,2415,2391,38,MO:1585;KS:606;AZ:48;IL:38;FL:17;TX:14;TN:9;AR:8;CO:8;OK:4,medium,38
549300VBLC1LTYHXGB54,,,,unmatched,72,41,38,IL:38;FL:1;TN:1;IN:1,low,38
549300OA8B0OLDA16R42,,,,unmatched,52,43,38,IL:38;MO:4;FL:1,low,38
549300OJ2JN8JFPQM182,,,,unmatched,68,47,38,IL:38;IN:9,low,38
549300T5QSL6MC8M4D04,,,,unmatched,3181,1954,37,NY:927;CT:403;NJ:182;FL:112;MA:68;IL:37;PA:22;CA:19;SC:19;TX:18,high,37
549300MCPCNPQAOB4032,,,,unmatched,4806,2960,36,LA:2035;AL:423;MS:214;GA:96;AR:39;IL:36;TX:33;FL:23;TN:18;SC:18,medium,36
5493003DVQUF5HAI1O03,,,,unmatched,121,55,36,IL:36;AZ:3;GA:2;MO:2;CT:2;OH:2;FL:1;NC:1;TX:1;KS:1,low,36
54930011HPXXLJN2D407,,,,unmatched,69,44,36,IL:36;MI:2;MN:1;NY:1;VA:1;WI:1;NC:1;IN:1,low,36
549300TRBLKWZO8LPT76,,,,unmatched,234,141,36,IA:101;IL:36;WI:1;FL:1;NE:1;AZ:1,low,36
549300UVOSI4XZZGUE14,,,,unmatched,1987,942,35,UT:278;ID:85;NC:67;FL:61;GA:52;AZ:44;CA:43;SC:43;OH:42;IL:35,medium,35
549300YKBMBBIIMQJS94,,,,unmatched,1775,1486,35,MO:1111;AR:306;IL:35;KS:7;TN:6;TX:4;NY:4;OK:3;OH:3;FL:3,medium,35
254900YA1AQXNM8QVZ06,,,,unmatched,951,767,34,CA:85;TX:59;FL:56;IL:34;NY:34;GA:32;WI:32;WA:31;NC:29;TN:27,medium,34
549300LLESTPOVRG3X73,,,,unmatched,2569,1100,33,KS:151;CA:88;WA:78;MO:67;TX:55;FL:49;NC:47;CO:45;NY:40;IL:33,medium,33
549300HN58ONH5KNJJ12,,,,unmatched,1243,1064,32,WI:806;MO:197;IL:32;FL:6;CO:4;TN:3;TX:3;MI:3;MN:2;KS:2,medium,32
5493005L8AW1CTD9HZ03,,,,unmatched,269,225,32,IA:186;IL:32;AR:2;FL:2;AZ:1;MN:1;SC:1,low,32
2138007DQF1WY8NDYM18,,,,unmatched,49,34,32,IL:32;FL:1;WI:1,low,32
5493003EAJYUK1F8B139,,,,unmatched,42,42,31,IL:31;IA:6;WI:1;FL:1;MO:1;AZ:1;IN:1,low,31
254900T73HGYTHZBWG27,,,,unmatched,33,33,31,IL:31;IN:2,low,31
54930000REMJYLBAS614,,,,unmatched,40,33,31,IL:31;MO:2,low,31
549300HECWJMBMVQ1V28,,,,unmatched,33,30,30,IL:30,low,30
549300ZK7EAZ7CRGCU94,,,,unmatched,35,30,30,IL:30,low,30
FT6J43S06X6CLJ0R0B48,,,,unmatched,2232,1641,29,NY:757;CA:616;WA:87;NJ:50;NV:32;MA:31;IL:29;TX:26;MD:13,high,29
549300PXIFIEPL7D7R86,,,,unmatched,659,447,29,TN:123;NJ:66;TX:40;IL:29;IN:21;FL:19;CO:16;OH:13;GA:13;MS:9,medium,29
5493003K5GJU8VB60Z66,,,,unmatched,38,29,29,IL:29,low,29
549300Q6X2WV4PYYV564,,,,unmatched,36,29,29,IL:29,low,29
254900YPPMV9UM5FUW09,,,,unmatched,1833,1256,28,NC:334;LA:256;MS:126;VA:100;DC:91;GA:80;MD:74;FL:47;IL:28;TX:15,high,28
549300JGMQJ4R419LR70,,,,unmatched,516,402,28,TX:45;CA:44;OH:29;IL:28;FL:19;PA:18;WA:15;NY:15;AL:14;MI:13,medium,28
549300OVNJWJXYPGIU28,,,,unmatched,32,32,28,IL:28;FL:2;SD:1;AZ:1,low,28
549300ZIXM1VUXPG4D03,,,,unmatched,1269,891,27,TX:329;MN:145;FL:102;CA:88;ND:30;PA:28;IL:27;OH:17;KY:17;AL:13,high,27
2I8LP0RLR14D1X6W0P51,,,,unmatched,65,55,27,IL:27;CA:11;MN:4;MI:3;MT:3;WI:2;FL:2;IN:2;SC:1,low,27
549300HR2TLJ7IGFMV18,,,,unmatched,117,116,27,IA:88;IL:27;FL:1,low,27
254900BLPLW0LXHKFX20,,,,unmatched,35,29,27,IL:27;MO:2,low,27
5493006EB8YM4CB8V697,,,,unmatched,40,27,27,IL:27,low,27
254900MHEKUVX1BTCD10,,,,unmatched,30,27,26,IL:26;AL:1,low,26
549300XPRIVI6I4YR959,,,,unmatched,43,27,26,IL:26;OH:1,low,26
549300KX2KT8MOAS5Q71,,,,unmatched,115,98,25,WI:43;IL:25;CA:9;IN:5;AZ:3;FL:2;MN:2;IA:2;WA:2;MT:2,low,25
2549008F85XOERURYW13,,,,unmatched,155,78,25,IN:53;IL:25,low,25
5493007BMZRJFTKKNV74,,,,unmatched,27,26,25,IL:25;MO:1,low,25
5493004R423PBPM6A173,,,,unmatched,557,394,24,OH:46;TX:37;IL:24;GA:23;TN:20;NJ:19;IN:19;VA:18;MI:17;FL:15,medium,24
549300T61O0X0RJMQ375,,,,unmatched,1117,647,23,CA:55;KS:50;MO:49;TX:47;WA:43;FL:41;NJ:39;NC:32;VA:28;IL:23,medium,23
