lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,me_originations,states_with_originations,priority_match,maine_originations
549300LR1ZETOWYE9Z89,,,,unmatched,1309,829,5,MA:530;CT:109;NY:84;RI:49;VT:24;NH:14;FL:9;ME:5;NJ:4;SC:1,high,5
549300MUTFJQGRZJH019,,,,unmatched,823,576,5,MA:530;CT:10;FL:10;NH:6;ME:5;SC:5;VT:3;NC:2;RI:2;NJ:1,high,5
549300HRKD2IJSOPRA57,,,,unmatched,293,255,5,MA:184;CT:37;RI:11;FL:8;NH:7;ME:5;SC:2;NY:1,medium,5
549300OITV2T766YLP15,,,,unmatched,126,87,5,RI:49;NH:21;MA:8;ME:5;CT:4,low,5
549300YV7HFY5MTM2Z65,,,,unmatched,366,214,5,NH:206;ME:5;MA:2;VT:1,low,5
549300IAYBMO4VREUX25,,,,unmatched,73,47,5,NH:42;ME:5,low,5
254900AD895KKZTSFT42,,,,unmatched,831,618,4,GA:406;SC:63;NC:58;FL:26;IN:25;NH:12;IL:9;TN:6;ME:4;VA:4,high,4
549300SIZ5KBISEZE503,,,,unmatched,694,470,4,MA:441;RI:13;CT:8;NH:4;ME:4,medium,4
549300XYJEJCSZHWWM52,,,,unmatched,465,280,4,MA:235;NH:41;ME:4,medium,4
549300GTJL0LGX444G33,,,,unmatched,262,228,4,MA:199;NH:16;FL:6;ME:4;RI:2;CT:1,medium,4
549300HKYBSATM44Q425,,,,unmatched,2241,1290,4,RI:1040;MA:158;CT:83;NH:5;ME:4,medium,4
5493008ZK5SW6NTWB533,,,,unmatched,217,162,4,MA:125;NH:33;ME:4,medium,4
549300KGE82WIZC87Y08,,,,unmatched,1065,837,3,MA:680;NH:154;ME:3,high,3
5493005DJAOTPGS83Z81,,,,unmatched,998,679,3,MA:640;CT:22;RI:8;FL:3;ME:3;NH:2;SC:1,high,3
5493001QVY14BXG42N39,,,,unmatched,695,477,3,MA:423;NH:51;ME:3,medium,3
