lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ny_originations,states_with_originations,priority_match,new_york_originations
254900DNLSAVSRPDRK61,,,,unmatched,202,164,164,NY:164,medium,164
549300EZ060LDD77JC03,,,,unmatched,245,198,163,NY:163;CA:14;NJ:14;GA:4;TX:3,medium,163
549300BXWU32AYWT1A56,,,,unmatched,2637,1675,161,TX:257;MI:227;NY:161;MN:157;IL:131;NJ:90;PA:86;CA:70;OH:68;VA:66,high,161
593C3GZG957YOJPS2Z63,,,,unmatched,5359,3375,146,CA:2576;WA:175;NY:146;TN:73;NJ:35;FL:32;NV:27;CO:25;AZ:24;TX:23,high,146
254900ZPR9P3OI95VG04,,,,unmatched,198,156,146,NY:146;CT:6;FL:3;NJ:1,medium,146
5493009U7VIT7UF4QH15,,,,unmatched,195,146,146,NY:146,medium,146
549300NVMV4W48B8SC18,,,,unmatched,174,140,140,NY:140,medium,140
5493000349C5XXDRQX28,,,,unmatched,5151,2780,139,CA:928;FL:451;TX:246;AZ:169;NY:139;CO:101;PA:80;NJ:73;VA:64;WA:62,high,139
549300QYX5EMLSR68B45,,,,unmatched,194,139,139,NY:139,medium,139
CKVBED0S4DMLKJJ5XH28,,,,unmatched,5127,4497,138,MO:1522;CA:364;FL:265;IL:150;TX:142;NY:138;NC:122;NJ:119;GA:115;CO:104,high,138
254900158KALQ2PWDU44,,,,unmatched,229,138,138,NY:138,medium,138
549300S5FSS555M0NA74,,,,unmatched,177,136,136,NY:136,medium,136
549300V56OLT434ILO42,,,,unmatched,192,136,136,NY:136,medium,136
5493001FKX0BM8GN6P73,,,,unmatched,553,401,126,NY:126;NJ:79;CA:74;PA:50;MD:26;VA:17;GA:17;TX:10;IL:2,medium,126
54930091JQKCU3Z6IP44,,,,unmatched,25603,2519,123,GA:284;FL:276;OH:189;TX:151;NC:128;NY:123;VA:120;PA:118;TN:101;NJ:100,high,123
5493007D8SNLKCBE4P48,,,,unmatched,147,123,123,NY:123,medium,123
549300Q3ROEQU3D1IW91,,,,unmatched,19804,2630,122,TX:464;CA:453;AZ:321;FL:160;WA:152;PA:125;NY:122;LA:114;OR:112;OK:54,high,122
549300R22XCNNGVXRO22,,,,unmatched,515,414,117,PA:211;NY:117;NJ:50;FL:13;MD:7;CT:4;OH:3;VA:3;DE:2;MI:1,medium,117
549300FEBB5EMDXTC518,,,,unmatched,172,117,117,NY:117,medium,117
549300IKS3MMB5YK6T18,,,,unmatched,2180,1523,116,CA:1195;NY:116;AZ:21;FL:17;NV:16;WA:14;NJ:12;VA:10;OR:10;GA:10,high,116
549300XED7IBK9VVQH70,,,,unmatched,3799,2898,114,DE:1176;TX:273;KY:273;PA:136;NY:114;CO:105;IN:99;VI:84;MD:83;CA:75,high,114
549300RYWXR8TL5LIK35,,,,unmatched,4057,2151,109,PA:518;NJ:483;NV:151;CA:116;NY:109;FL:87;OH:75;NC:66;MA:66;CO:50,high,109
549300YMIOLU51FSTO86,,,,unmatched,2052,1588,108,PA:346;NJ:322;DE:136;NY:108;TX:98;OH:89;MI:69;WV:66;FL:64;GA:45,high,108
5493004UNRG4PWDF2K60,,,,unmatched,3434,1920,106,NJ:1476;NY:106;PA:60;CT:53;FL:49;NC:25;CA:19;VA:16;SC:13;MD:11,high,106
549300FFVDRROF85IC57,,,,unmatched,11110,774,106,TX:149;NY:106;MI:99;PA:95;SC:54;OH:44;FL:43;MO:39;LA:24;WV:21,medium,106
549300E0WPRCJMXMUM09,,,,unmatched,296,196,104,NY:104;FL:75;NJ:11;TX:2;PA:2;GA:1;DE:1,medium,104
549300F7JKU0UTD6KX15,,,,unmatched,154,104,104,NY:104,medium,104
549300D6JK30QTSRHB52,,,,unmatched,146,102,102,NY:102,medium,102
549300BDZCCADL2HG292,,,,unmatched,142,101,101,NY:101,medium,101
549300TZDKJ07KL8T621,,,,unmatched,176,112,100,NY:100;CT:6;NJ:4;MA:2,medium,100
254900NZOY3XB2DNSZ34,,,,unmatched,2542,1799,99,CA:437;NJ:170;FL:130;MA:120;NY:99;WA:95;IL:89;CT:63;GA:61;PA:51,high,99
549300WH9FMXOC63ZV77,,,,unmatched,478,419,98,CA:169;NY:98;FL:66;NJ:27;MD:11;TX:8;WA:8;CO:7;OR:6;VA:5,medium,98
549300T1F1BRPWSZT586,,,,unmatched,120,97,97,NY:97,medium,97
549300GCNN38YBSHN374,,,,unmatched,138,96,96,NY:96,medium,96
254900SK7KTN4QNPHP32,,,,unmatched,1162,886,94,PA:781;NY:94;NJ:9;FL:2,high,94
9845009L1378CEE50A18,,,,unmatched,93,92,92,NY:92,medium,92
KD3XUN7C6T14HNAYLU02,,,,unmatched,1637,1015,91,CA:220;NY:91;FL:83;TX:82;IL:62;MA:49;CO:33;UT:31;WA:30;NJ:25,high,91
254900AU2FARCMPNA566,,,,unmatched,126,91,91,NY:91,medium,91
