lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,wv_originations,states_with_originations,priority_match,west_virginia_originations
549300R0L43GUZ8EW811,,,,unmatched,549,427,4,TN:364;AL:23;KY:16;FL:5;GA:5;WV:4;MS:2;NC:2;OH:1;AR:1,medium,4
549300V6LKROCIL7OI49,,,,unmatched,1234,1029,4,VA:765;TN:168;NC:77;SC:5;WV:4;FL:3;KY:2;MD:2;TX:1;OH:1,medium,4
549300PPKM4YL2GY3713,,,,unmatched,190,109,4,MD:44;VA:30;DC:6;WV:4;FL:3;NC:3;OH:3;NY:2;SC:2;PA:2,low,4
549300ZUA8339ZH6W934,,,,unmatched,126,45,4,KY:26;MN:5;WV:4;OH:3;TN:2;GA:2;KS:1;FL:1;NC:1,low,4
549300VI8UYZW0WTE611,,,,unmatched,248,167,4,KY:140;OH:21;WV:4;TN:1;SC:1,low,4
VN1JLT1F3FLLVN3FZG89,,,,unmatched,7547,4663,3,PA:3223;OH:1386;KY:18;FL:12;IN:5;NC:3;WV:3;MN:2;IL:2;GA:2,high,3
549300RIR04Y64SF4306,,,,unmatched,901,774,3,PA:759;FL:5;OH:3;WV:3;MT:1;DC:1;VA:1;NC:1,high,3
549300SO0M022D8D8358,,,,unmatched,516,338,3,VA:205;NC:123;SC:5;WV:3;FL:1;PA:1,medium,3
5493004NMXQUYEFD1Y98,,,,unmatched,819,608,3,OH:592;MI:4;WV:3;SC:3;KY:2;IN:2;FL:1;VA:1,medium,3
54930040I855W2FI0Y80,,,,unmatched,334,313,3,MD:301;PA:6;WV:3;DE:2;VA:1,low,3
549300V2YLC1I721HE07,,,,unmatched,452,333,3,VA:326;NC:4;WV:3,low,3
549300FHTPSIK7LBKD38,,,,unmatched,365,262,3,IN:209;VA:31;OH:16;MD:3;WV:3,low,3
549300E0P87HTQVFQH08,,,,unmatched,147,126,3,OH:123;WV:3,low,3
LVR1UQE8OOCO93IHEB52,,,,unmatched,5915,4158,2,PA:2412;NY:1021;IN:480;OH:223;MI:6;FL:6;WV:2;TN:2;MD:2;KY:1,high,2
MCXHCL35UUWDZK7NCQ61,,,,unmatched,4091,2616,2,PA:2442;OH:133;NJ:15;MD:6;FL:6;DE:4;SC:2;GA:2;WV:2;MA:1,high,2
549300NBFK4GO76FTE84,,,,unmatched,2537,2029,2,PA:1227;NY:320;OH:224;VA:217;FL:15;SC:12;TN:3;NC:3;WV:2;NJ:2,high,2
549300NT030LXB2A8T82,,,,unmatched,1191,880,2,FL:742;MD:56;NJ:28;TX:18;GA:11;VA:6;NC:5;PA:4;WV:2;DC:2,high,2
549300CEHN5CVC6INV48,,,,unmatched,5314,3696,2,OH:3251;SC:235;NC:119;KY:55;FL:12;IN:9;TN:3;GA:3;WV:2;MD:2,medium,2
254900R1UY5PAEIHXX38,,,,unmatched,768,676,2,VA:338;NC:286;TN:50;WV:2,medium,2
MMO6VV34TNP4Z1T8NG83,,,,unmatched,396,321,2,NC:109;GA:68;SC:64;FL:34;KY:18;VA:15;TX:8;WV:2;NY:1;PA:1,medium,2
549300NWKILSNQAIG053,,,,unmatched,2133,1205,2,VA:606;UT:469;NC:45;TX:38;FL:7;GA:7;AZ:5;TN:3;OH:3;WV:2,medium,2
549300LT75BG7Z054795,,,,unmatched,911,722,2,MD:591;PA:63;FL:30;VA:13;DE:12;NC:5;WV:2;SC:2;DC:2;MI:1,medium,2
549300L8JRY60EOROT34,,,,unmatched,2168,1716,2,IL:1287;MO:400;FL:11;IN:3;AR:2;WV:2;NC:2;GA:2;TN:2;WI:1,medium,2
549300KGMXCXMVC0BO47,,,,unmatched,954,699,2,VA:688;NC:5;WV:2;NJ:1;TN:1;SC:1;NV:1,medium,2
549300NWB973YIHXKU90,,,,unmatched,45,45,2,PA:42;WV:2;VA:1,low,2
5493005H0NK3SWWY4384,,,,unmatched,318,279,2,VA:223;MD:24;NC:9;DC:7;FL:3;WV:2;CO:2;OH:1;NH:1;PA:1,low,2
549300BM1JKSQR7HI756,,,,unmatched,45,34,2,MD:28;PA:3;WV:2;DC:1,low,2
549300029HOKG1DFPD77,,,,unmatched,31,29,2,MD:25;WV:2;PA:2,low,2
54930065TMWOWFAXBL88,,,,unmatched,541,379,2,OH:352;KY:23;WV:2;IN:1;TN:1,low,2
984500EA889BH01D0J94,,,,unmatched,52,43,2,OH:40;WV:2;PA:1,low,2
54930087FQP1S845Z665,,,,unmatched,672,473,1,TX:467;CO:2;WV:1;TN:1;CA:1;VA:1,medium,1
5493003PL2K1NXVSU388,,,,unmatched,372,365,1,PA:283;MD:77;FL:1;WV:1;VA:1;TX:1;GA:1,medium,1
54930046JONFO0FON766,,,,unmatched,224,171,1,FL:153;GA:6;TN:3;CO:2;NC:2;NY:1;WV:1;MN:1;TX:1;MI:1,medium,1
549300EYKSNFOZRIBC29,,,,unmatched,257,121,1,FL:116;GA:2;OH:1;NC:1;WV:1,medium,1
549300Z6CULHNPDHYI25,,,,unmatched,127,96,1,PA:95;WV:1,medium,1
254900PW1USAMXJ2SQ82,,,,unmatched,86,67,1,PA:66;WV:1,medium,1
5493003KBJMVUE7RQO90,,,,unmatched,1118,691,1,VA:672;NC:5;AL:3;TX:2;MA:2;OK:1;GA:1;RI:1;WV:1;FL:1,medium,1
549300GN85R5S1V3SJ96,,,,unmatched,993,659,1,OH:510;KY:92;IN:41;FL:9;SC:3;AZ:1;WV:1;AR:1;CO:1,medium,1
254900UHFHT3IWKY8K19,,,,unmatched,1133,865,1,OH:713;MI:142;FL:5;SC:1;IN:1;WV:1;IL:1;AZ:1,medium,1
5493001XRDEGNB7US825,,,,unmatched,700,568,1,MI:563;NC:1;OH:1;IN:1;WV:1;AZ:1,medium,1
549300QV3GEYMP1WSO93,,,,unmatched,98,63,1,OH:24;TX:20;VI:14;KY:1;WV:1;SC:1;MI:1;CA:1,low,1
549300YUWQTVWWH3TM22,,,,unmatched,32,30,1,DC:16;VA:10;MD:3;WV:1,low,1
2549006HGDHH72X1BE36,,,,unmatched,130,114,1,WI:93;CA:12;IN:2;MI:2;WV:1;FL:1;IL:1;MA:1;NV:1,low,1
549300Z8EM6P4IUIYG50,,,,unmatched,66,57,1,OH:38;MI:14;WV:1;FL:1;IN:1;CA:1;SC:1,low,1
549300WO6ELYQQWFMD71,,,,unmatched,74,71,1,VA:69;SC:1;WV:1,low,1
5493002XHCZ94X8YST31,,,,unmatched,141,128,1,WI:122;IA:4;WV:1;KS:1,low,1
549300LTO41UX0MSL179,,,,unmatched,122,117,1,VA:116;WV:1,low,1
254900OM76KUNZP81M89,,,,unmatched,111,109,1,IA:104;NE:2;AZ:1;MN:1;WV:1,low,1
549300HW662MN1WU8550,,,,unmatched,576697,422119,0,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high,0
549300FGXN1K3HLB1R50,,,,unmatched,609400,429332,0,CA:42202;FL:31530;TX:30579;MI:22693;GA:21182;NC:18462;OH:16656;PA:16043;VA:14489;NY:13729,high,0
549300VZVN841I2ILS84,,,,unmatched,190472,125099,0,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high,0
B4TYDEB6GKMZO031MB27,,,,unmatched,217492,88530,0,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440;WA:3420;IL:2889,high,0
RVDPPPGHCGZ40J4VQ731,,,,unmatched,193807,100816,0,CA:10749;FL:9704;TX:6849;GA:5272;PA:4488;VA:4338;NC:3751;AZ:3232;NJ:3144;OH:2964,high,0
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,0,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high,0
549300AG64NHILB7ZP05,,,,unmatched,155159,91730,0,CA:9983;TX:8535;FL:7460;NJ:4334;IL:4241;GA:4168;AZ:4138;NC:3969;OH:3505;SC:2670,high,0
5493001SXWZ4OFP8Z903,,,,unmatched,101400,69159,0,TX:17748;FL:11582;NC:5258;SC:4153;GA:2777;CA:2776;AZ:2406;AL:2376;TN:2122;NV:2059,high,0
DRMSV1Q0EKMEXLAU1P80,,,,unmatched,119620,68902,0,NY:11000;PA:10441;MA:10235;NJ:7208;OH:4732;RI:3762;MI:3697;NH:3194;CT:3030;FL:2297,high,0
549300H3IZO24NSOO931,,,,unmatched,77363,56951,0,TX:15642;FL:10692;CA:6607;NC:2756;SC:2694;AZ:2623;IN:1952;NV:1669;MN:1365;CO:1283,high,0
5493003GQDUH26DNNH17,,,,unmatched,179597,80547,0,VA:9684;FL:8416;CA:6361;NC:5249;MD:5163;GA:5118;TX:4267;SC:2487;WA:2289;PA:2141,high,0
549300GKFNPRWNS0GF29,,,,unmatched,102677,70098,0,TX:10655;WA:5796;CA:4698;FL:4388;TN:3925;PA:2626;NH:2466;MA:2329;VA:2325;NJ:2257,high,0
549300DD5QQUHO6PCH70,,,,unmatched,178189,82764,0,TX:6918;FL:5506;NC:4769;VA:4500;GA:4139;OH:3302;TN:3178;IL:2965;MO:2901;PA:2643,high,0
549300U3721PJGQZYY68,,,,unmatched,129086,70579,0,IL:10217;CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;OH:2795;NC:2491;CO:2143,high,0
549300FNXYY540N23N64,,,,unmatched,187594,66567,0,CA:5772;FL:5643;TX:4793;NY:3123;NC:2787;WA:2702;GA:2480;OH:2258;VA:2175;PA:2124,high,0
549300LYRWPSYPK6S325,,,,unmatched,165453,69982,0,TX:5759;FL:5374;NC:4463;GA:3946;CA:3918;VA:3646;IN:2580;OH:2477;TN:2436;SC:2168,high,0
549300DD4R4SYK5RAQ92,,,,unmatched,81084,57781,0,NC:8138;WA:5559;VA:4339;FL:4122;PA:3902;SC:2978;GA:2388;TX:2367;TN:2207;CA:1690,high,0
AD6GFRVSDT01YPT1CS68,,,,unmatched,116536,61280,0,PA:11263;OH:6725;NJ:5755;IL:3711;FL:3475;MD:2948;TX:2930;MI:2885;IN:2802;CA:2688,high,0
549300AQ3T62GXDU7D76,,,,unmatched,121724,86111,0,TX:6877;WA:5691;MO:5462;CO:4338;OR:4218;CA:4118;UT:3981;NV:3882;GA:3788;AZ:3467,high,0
549300E2UX99HKDBR481,,,,unmatched,140816,57460,0,TX:5508;CA:5105;GA:4063;FL:3881;IL:3581;MO:2619;PA:2148;MN:1842;WA:1680;NC:1619,high,0
6BYL5QZYBDK8S7L73M02,,,,unmatched,151786,74632,0,CA:16135;IL:4571;MN:4538;OH:3965;MO:3622;WA:3524;WI:2785;KY:2645;OR:2465;FL:2279,high,0
549300MGPZBLQDIL7538,,,,unmatched,103697,74450,0,TX:7468;AZ:4724;IL:4215;IN:3665;GA:3631;FL:3153;NC:2993;WI:2947;CA:2867;OH:2685,high,0
JJKC32MCHWDI71265Z06,,,,unmatched,83470,41001,0,NC:7920;VA:6374;FL:6117;GA:4837;MD:3245;SC:2178;PA:2152;TN:2014;TX:1260;KY:1026,high,0
KB1H1DSPRFMYMCUFXT09,,,,unmatched,76304,41562,0,CA:9616;NY:2733;FL:2670;TX:2647;NC:2302;NJ:1716;PA:1628;WA:1514;GA:1509;MN:1496,high,0
549300LBCBNR1OT00651,,,,unmatched,79599,52217,0,CA:4657;TX:3609;FL:3546;GA:2560;IL:1982;NC:1949;OH:1768;VA:1764;PA:1746;AZ:1744,high,0
254900DTLHVWQ7NP7R34,,,,unmatched,58895,40038,0,CA:8432;FL:4627;TX:3502;AZ:2579;UT:1917;IL:1746;CO:1646;MI:1407;WA:1253;GA:1055,high,0
549300MZ8VZJOVC63092,,,,unmatched,45691,29401,0,CA:6409;TX:3781;FL:2662;UT:2249;GA:1421;OR:864;PA:782;WA:727;AZ:672;TN:597,high,0
254900UL88QFG0E40516,,,,unmatched,72355,33415,0,CA:5234;FL:2872;GA:1717;OH:1553;IL:1432;AZ:1416;NC:1212;NJ:1197;VA:1180;MI:1090,high,0
549300XQVJ1XBNFA5536,,,,unmatched,157783,28058,0,TX:6763;FL:2098;MI:1623;AL:1274;CA:1262;GA:1218;SC:1207;LA:1097;MS:1068;OK:888,high,0
5493006VAGP3GQ8FJT49,,,,unmatched,45169,25528,0,CA:3237;FL:2385;OH:1967;PA:1829;NC:1435;GA:1388;TX:1379;NJ:1139;MI:1128;MO:909,high,0
254900ZFWS2106HWPH46,,,,unmatched,34318,23410,0,CA:3975;FL:3741;TX:3136;NJ:1490;AZ:1127;GA:977;CO:741;WA:701;OH:688;OR:635,high,0
549300RPOGWJRH63HS39,,,,unmatched,51423,37767,0,OH:5380;MI:4118;TX:3238;FL:2495;IN:2257;NC:2127;PA:1934;IL:1655;TN:1404;KY:1069,high,0
WWB2V0FCW3A0EE3ZJN75,,,,unmatched,40592,23443,0,NY:7073;MD:3115;PA:3099;CT:2398;MA:1690;NJ:1501;VA:901;DE:767;VT:352;FL:342,high,0
549300121SF0K2LN2804,,,,unmatched,33320,24706,0,TX:6358;SC:1561;MO:1496;NY:1278;CA:1208;OH:1134;FL:931;PA:746;WA:716;AZ:610,high,0
