lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,nd_originations,states_with_originations,priority_match
549300JYXTZDSPJEPI44,,,,unmatched,23886,14594,0,TX:1897;FL:1239;NY:1222;CA:1056;PA:866;MN:713;MI:555;NC:515;IN:489;IL:475,high
549300RN01LBYR8ZVX74,,,,unmatched,29643,17905,0,TX:1752;FL:1721;OH:1641;SC:1492;IL:1191;CO:1189;NC:1047;GA:846;VA:635;MD:581,high
5493001GDRY0EL7VG372,,,,unmatched,20194,15382,0,TX:4151;KY:1179;CO:914;FL:795;CA:751;SC:545;TN:524;MI:399;GA:387;AZ:384,high
54930054ET8KM4O1D485,,,,unmatched,55546,16189,0,CA:1778;FL:1042;NC:865;TX:858;NJ:752;IL:709;GA:704;PA:668;OH:585;VA:529,high
549300NOCASXPA34X033,,,,unmatched,69562,16372,0,FL:1488;TX:1422;CA:1244;GA:829;AZ:635;NC:610;VA:600;CO:583;WA:518;TN:495,high
549300370QILXLFUWD20,,,,unmatched,20147,14357,0,TX:1648;FL:1590;CA:1176;GA:1124;NC:1090;CO:635;AZ:603;MI:599;OH:481;VA:436,high
549300XY701IELCE5Q08,,,,unmatched,45682,14567,0,CA:1786;TX:1143;FL:1004;GA:685;NC:664;NJ:658;CO:512;OK:493;WA:480;IL:476,high
5493008NWHQT1R22C024,,,,unmatched,22722,13125,0,FL:1724;CA:1554;VA:897;TX:880;NY:827;AZ:698;MI:616;GA:565;SC:484;IN:429,high
549300MCIFZSDHUT8X63,,,,unmatched,24275,18920,0,OH:3308;MD:2255;FL:2000;VA:1310;NC:1137;TX:1055;NJ:1051;AZ:897;WA:843;CO:659,high
54930021WPEXNHYZUL09,,,,unmatched,18947,14467,0,TX:1597;FL:1206;GA:1125;CA:1003;PA:597;LA:585;VA:490;NC:417;OH:417;ID:411,high
549300R9S3MVDV4MGF56,,,,unmatched,52143,15089,0,FL:1296;CA:1022;GA:873;TX:848;IN:732;NC:680;OH:675;NY:576;MI:570;TN:533,high
549300GS0W0TEUQS8571,,,,unmatched,14182,10740,0,CA:1957;FL:990;NY:947;TX:573;NJ:548;MA:449;CO:427;IL:381;WA:350;GA:322,high
549300VORTI31GZTJL53,,,,unmatched,18123,12305,0,TX:2136;FL:1187;IN:791;TN:697;WI:497;NC:467;GA:453;MN:448;PA:446;NY:375,high
549300CB67L6KPJLHE19,,,,unmatched,72633,14578,0,TX:2321;CA:1644;MI:1245;MS:1014;FL:774;LA:606;AL:587;PA:553;WA:550;OR:426,high
5493004AS1SPBQOFDR49,,,,unmatched,14858,8804,0,CA:2752;FL:1313;TX:1230;NJ:438;CO:244;AZ:210;NC:195;MI:195;VA:193;TN:172,high
549300K4ZLGS7SRDTL86,,,,unmatched,28384,12086,0,FL:1337;CA:1126;TX:988;GA:737;LA:646;AZ:508;NC:500;TN:491;OH:431;PA:425,high
549300FX7K8PTEQUU487,,,,unmatched,26508,11278,0,VA:1455;CA:1113;TX:1055;FL:972;MD:652;GA:541;NC:517;NJ:449;PA:338;AZ:290,high
549300F8C5JA44WNMI75,,,,unmatched,18919,12172,0,VA:2520;NJ:1899;FL:856;NY:768;CT:755;MA:739;OH:544;IN:489;PA:397;RI:334,high
549300RA3E0BUFO7YZ21,,,,unmatched,14901,7540,0,FL:1457;CA:1424;TX:795;NY:714;NJ:302;GA:259;NC:179;PA:177;AZ:172;TN:151,high
COOWI3L2W9TPYR3WJX37,,,,unmatched,13363,8447,0,TN:2513;LA:1305;FL:1045;TX:905;NC:690;AR:628;GA:426;AL:320;MS:167;MO:110,high
5493002B2WMHY23GFK92,,,,unmatched,15900,11444,0,FL:1201;TX:938;NC:727;AZ:557;MO:535;TN:529;SC:473;OH:451;CA:440;GA:433,high
549300S5YL3OH0IVCS62,,,,unmatched,12584,8696,0,CA:2527;FL:786;TX:524;AZ:401;NY:368;WA:337;CO:303;NJ:280;NC:254;GA:195,high
549300VCMRO4ST680C11,,,,unmatched,32888,10858,0,TX:1052;FL:935;CA:770;GA:706;NC:705;VA:580;MO:413;SC:382;OH:351;TN:349,high
254900HA4DQWAE0W3342,,,,unmatched,15379,9160,0,TX:1692;GA:705;FL:619;CA:540;PA:524;IL:452;IN:431;OH:396;AL:335;TN:311,high
C5654JQHZUHN0772B561,,,,unmatched,26635,11693,0,TX:1101;FL:825;NC:681;GA:562;VA:488;TN:407;OH:397;PA:348;MO:340;SC:332,high
549300Y5Y88FQLI7VE83,,,,unmatched,14122,8066,0,FL:1549;CA:1010;TX:738;NC:355;GA:352;NJ:274;OH:265;PA:231;VA:205;IL:205,high
549300R0SXC1JU7ZU290,,,,unmatched,13447,10308,0,TN:2461;OH:1167;MI:696;FL:575;GA:520;VA:503;AL:495;PA:402;KY:386;IN:376,high
X05BVSK68TQ7YTOSNR22,,,,unmatched,68974,9711,0,CA:813;FL:771;TX:649;IL:493;NY:467;GA:466;NJ:451;OH:397;PA:392;VA:317,high
54930049L5WINET09Q97,,,,unmatched,16126,10736,0,FL:2049;TX:1245;AZ:1032;OH:780;AR:515;MO:431;NC:399;TN:377;GA:377;NM:339,high
549300SK2GVCQXPD4S58,,,,unmatched,16278,8918,0,CA:1697;TX:1058;FL:658;AZ:538;GA:358;IL:304;PR:289;OH:247;NC:246;VA:245,high
549300KSOOZZVXCMA627,,,,unmatched,10229,6232,0,FL:1936;CA:979;TX:491;GA:268;SC:250;NC:246;VA:201;NJ:153;PA:147;AZ:137,high
549300KJ8PAJ7E52HG32,,,,unmatched,20196,12504,0,FL:1839;SD:1570;AZ:1203;TX:1036;UT:934;CO:484;GA:407;MN:377;NE:357;CA:304,high
549300GTVXJ2PGXNLM73,,,,unmatched,12024,9307,0,TX:1195;FL:869;NC:762;OH:610;SC:592;KY:592;CT:447;VA:334;IL:302;AR:278,high
3Y4U8VZURTYWI1W2K376,,,,unmatched,35659,16529,0,IL:3906;CA:3818;WI:2970;IN:1029;AZ:962;CO:755;MN:487;MO:324;NE:297;FL:285,high
SS1TRMSN6BRNMOREEV51,,,,unmatched,19117,9656,0,MI:2677;TX:943;CA:934;FL:737;IN:410;NY:367;GA:351;AZ:303;OH:300;NJ:204,high
254900TTZ395IC926125,,,,unmatched,10564,7434,0,CA:2290;TX:605;OR:449;KS:368;FL:341;AZ:307;MA:268;CO:267;TN:243;MD:215,high
549300T94GSH3C4U5M59,,,,unmatched,14981,8359,0,CA:1937;IL:777;FL:679;WA:593;AZ:482;CO:385;OR:353;GA:331;NJ:280;VA:212,high
54930034MNPILHP25H80,,,,unmatched,11008,7952,0,TX:2178;OK:1547;SC:653;KS:533;AR:350;NJ:337;WV:337;MO:254;FL:223;NM:216,high
549300EKFFG3BU8DNX74,,,,unmatched,10644,5793,0,CA:1752;FL:672;TX:565;AZ:358;WA:190;GA:182;NJ:179;IL:168;PA:142;CO:119,high
