lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
E57ODZWZ7FF32TWEFA76,,,,unmatched,25870,12299,565,CA:5786;NY:3687;NJ:707;FL:565;TX:506;DC:281;MA:212;PA:148,high
549300UXY7OP0IC38293,,,,unmatched,3696,2163,524,FL:524;MA:288;GA:219;TN:219;CA:205;NC:176;NJ:165;SC:133,high
5493000NYUJT9UC6G261,,,,unmatched,2176,1428,521,FL:521;CA:395;GA:191;TX:174;TN:92;PA:29;NC:12;SC:9,high
KI0VI4JRMCIJ329YTN75,,,,unmatched,4375,2902,507,NJ:1659;NY:656;FL:507;PA:40;CA:10;SC:9;NC:9;MA:5,high
549300UR5AOWTJJ7KZ64,,,,unmatched,3005,1961,505,FL:505;CA:468;TX:301;GA:129;MA:119;SC:118;NC:104;TN:66,high
549300TA4MQM8WN2XG31,,,,unmatched,5866,3089,504,FL:504;PA:494;NJ:395;CA:388;TX:381;NY:356;GA:185;NC:131,high
5493005PKOSG7MYX0B34,,,,unmatched,11586,8246,491,PA:2325;NC:1281;NJ:1060;GA:1024;CA:626;TX:551;FL:491;NY:237,high
549300INFJ8TYNZ1G568,,,,unmatched,4073,3775,485,CA:1748;FL:485;TX:359;NY:192;NJ:178;NC:172;MA:168;GA:146,high
PAOOWF3GUFM46FBSP561,,,,unmatched,10868,3703,485,CA:800;TX:669;FL:485;GA:309;NC:262;TN:247;NJ:236;MA:228,high
549300CLRXFVF83ZL806,,,,unmatched,5117,3511,463,NY:2070;NJ:486;FL:463;PA:182;NC:102;TX:57;GA:56;SC:37,high
54930030Z1JWTP3SVD16,,,,unmatched,2648,1470,458,FL:458;GA:334;NC:169;TN:155;PA:126;SC:82;CA:73;MA:60,high
5493000349C5XXDRQX28,,,,unmatched,3827,2072,451,CA:928;FL:451;TX:246;NY:139;PA:80;NJ:73;GA:53;TN:32,high
