lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,in_originations,states_with_originations,priority_match
549300H8JJI69WD7I525,,,,unmatched,2156,1643,294,OH:1250;IN:294;KY:35;MI:29;FL:13;PA:7;SC:4;AZ:2;NC:2;TN:2,medium
UBNR8NKAK8J9JL4NZF88,,,,unmatched,1876,1380,287,OH:1023;IN:287;KY:37;MI:21;NC:3;FL:2;IL:1;MN:1;UT:1;NE:1,medium
549300LXKO1O7CSK5J52,,,,unmatched,19410,15370,268,MO:7301;IL:1758;AR:1481;OK:1425;KS:1216;TX:675;CO:311;IA:298;IN:268;NE:264,high
549300DI1T4KP9NPFQ75,,,,unmatched,329,267,265,IN:265;IL:2,low
2549005LG69OCBT9WE71,,,,unmatched,284,266,262,IN:262;IL:4,low
254900RUCO27MVGTO768,,,,unmatched,20166,9270,258,NY:1687;NJ:1215;IL:1106;OH:564;PA:540;FL:432;CT:324;GA:317;TX:281;IN:258,high
254900WEP08K7U7S3A80,,,,unmatched,8177,6568,252,WI:943;TX:709;OH:658;AZ:564;MO:385;OR:304;IN:252;NV:222;IL:210;MS:209,high
54930027H7CJF9GCDZ36,,,,unmatched,431,306,248,IN:248;MS:39;NC:9;OH:5;TN:2;FL:1;MI:1;KY:1,low
549300GYDLDVRYKJ3N02,,,,unmatched,395,247,247,IN:247,low
549300IFOE4SCP384147,,,,unmatched,2997,2426,245,FL:1083;MI:505;IN:245;CA:67;NC:57;GA:47;TN:44;SC:43;AL:27;AZ:25,high
QGPGHQ1ENZOOLJRFTH41,,,,unmatched,9405,6248,241,OH:3020;WV:956;PA:657;KY:645;MD:400;IN:241;MI:120;VA:105;FL:30;TN:22,high
549300NFPC3Y4W3Y7R87,,,,unmatched,7552,4267,240,VA:747;TX:623;SC:342;NC:297;CA:292;GA:272;IN:240;NM:234;FL:225;MT:168,high
549300UI36AJZ0WZ4U93,,,,unmatched,12508,8815,228,TX:2244;FL:1773;AZ:1731;CA:802;NC:633;GA:425;CO:329;NV:233;IN:228;SC:162,high
5493000NYUJT9UC6G261,,,,unmatched,8132,5519,223,MO:1526;IL:660;FL:521;CA:395;KS:382;WA:233;AL:224;IN:223;ME:215;GA:191,high
X6T32LKEPUT8LQMW6755,,,,unmatched,4059,2475,220,KY:1477;FL:315;TN:233;IN:220;OH:205;SC:5;VA:5;NC:3;MO:2;AL:2,high
549300UXY7OP0IC38293,,,,unmatched,10377,6396,218,KY:1184;MI:572;FL:524;CO:486;MA:288;GA:219;TN:219;IN:218;UT:207;CA:205,high
549300PC4MFWQBNVKG88,,,,unmatched,9475,7248,218,AZ:2321;CO:1153;TX:1080;NM:272;OK:264;CT:235;NV:227;IN:218;CA:169;PA:165,high
549300PKEQ3Q9S0IXW76,,,,unmatched,5324,3201,211,MI:1072;NV:550;AR:477;NC:475;IN:211;OH:161;OK:59;PA:58;SC:25;FL:20,high
549300FHTPSIK7LBKD38,,,,unmatched,365,262,209,IN:209;VA:31;OH:16;MD:3;WV:3,low
549300XYOAX0LV89BL94,,,,unmatched,280,243,206,IN:206;OH:33;KY:4,low
549300KTSX5SM2W0VV58,,,,unmatched,232,205,205,IN:205,low
254900803AYZRNV49618,,,,unmatched,282,210,200,IN:200;KY:6;OH:3;MI:1,low
549300REENMLD2RN3W58,,,,unmatched,5575,4097,198,KY:757;GA:741;MS:426;AL:214;SC:204;IN:198;TX:153;FL:142;TN:90;CA:83,high
5493005ANYGQWRPVGU61,,,,unmatched,213,200,196,IN:196;FL:2;KY:1;AL:1,low
5493009FTGT1RX4J7Y04,,,,unmatched,317,193,193,IN:193,low
549300XQ7B5FIVUNFE29,,,,unmatched,3603,2428,187,FL:652;MI:441;OH:213;TN:202;IN:187;NC:112;ID:109;NM:104;UT:84;TX:54,high
549300PFJ7GCGDLB2E65,,,,unmatched,2560,1736,185,GA:836;TX:302;IN:185;FL:95;LA:76;NV:58;MD:43;SC:23;MO:23;VA:21,high
549300T7HRS5DVBUPQ06,,,,unmatched,3766,3018,182,GA:1234;FL:235;CO:226;IN:182;AZ:181;NC:142;OH:137;AL:121;SC:55;WA:50,high
549300RMPGD5KKS1RR35,,,,unmatched,214,185,181,IN:181;FL:2;MI:2,low
549300GQOPGZ1DO0MZ49,,,,unmatched,209,179,179,IN:179,low
5493004OB0KD7VERQW98,,,,unmatched,3203,2426,175,TX:1107;KY:411;TN:219;OK:188;IN:175;AL:173;GA:54;LA:47;AR:32;FL:12,high
549300I3BPURP4WOHN47,,,,unmatched,210,169,169,IN:169,low
54930008MKP7T81OVK54,,,,unmatched,296,257,168,IN:168;KY:44;GA:34;IL:9;FL:1;SC:1,low
213800XA5M2HOWATHG59,,,,unmatched,212,170,167,IN:167;KY:3,low
549300Y0F8X17ADZK505,,,,unmatched,294,203,161,IN:161;OH:39;WI:1;FL:1;KY:1,low
549300ZLAWM1M5QAJH43,,,,unmatched,331,179,160,IN:160;MI:17;FL:2,low
549300BM59EMYEJ5Q179,,,,unmatched,282,162,160,IN:160;FL:1;IL:1,low
54930063578UDYE3JR69,,,,unmatched,1797,1219,154,OH:744;IN:154;KY:131;WV:42;NC:32;PA:29;TN:14;MI:10;FL:9;AR:8,medium
549300MNGYKM8QPYJL44,,,,unmatched,222,157,154,IN:154;FL:3,low
549300MTH7LUU0OHYB47,,,,unmatched,209,160,154,IN:154;KY:4;MA:1;AZ:1,low
54930004Z0FN1LYUET14,,,,unmatched,240,151,150,IN:150;FL:1,low
549300M20N1NQO7LMK11,,,,unmatched,197,164,150,IN:150;MI:14,low
549300Z6RK4QCIMZJD44,,,,unmatched,189,148,147,IN:147;CA:1,low
549300CABYW2DE2UTD57,,,,unmatched,187,145,145,IN:145,low
54930074SGHZL5IZGS24,,,,unmatched,169,139,139,IN:139,low
549300QX5KH5JXXMYU41,,,,unmatched,209,141,137,IN:137;OH:3;FL:1,low
549300OHIEQGELZVJP60,,,,unmatched,2146,1668,135,KY:1519;IN:135;OH:6;TN:5;GA:1;NC:1;UT:1,medium
549300DG3IV05V4C4E03,,,,unmatched,4161,3145,131,LA:1292;TX:730;AR:516;TN:265;IN:131;GA:86;MS:73;FL:13;OH:6;AL:6,high
5493006VVC2EW2KLYK29,,,,unmatched,170,136,130,IN:130;OH:6,low
2549007JZSAICH4GZJ60,,,,unmatched,2386,1856,126,FL:711;IL:505;CA:358;IN:126;WI:111;MI:10;AZ:9;TX:4;VA:4;WA:4,high
549300G2EZKPVQQ0D852,,,,unmatched,167,137,125,IN:125;IL:8;KY:3;TN:1,low
549300ALNLUNS3Y53T24,,,,unmatched,26611,5416,122,CO:1398;GA:491;TX:304;FL:274;OH:189;NC:168;CA:163;PA:147;IN:122;MI:111,high
549300FVD3YHE65PKH97,,,,unmatched,3373,2007,120,NV:336;TX:274;CA:216;NJ:193;CO:156;FL:134;IN:120;GA:117;OK:106;IL:99,high
549300BBKMRS6J0CB539,,,,unmatched,4005,2955,117,TX:2153;IL:171;VA:119;IN:117;FL:102;OK:88;MO:56;NV:25;AZ:14;AL:13,high
54930030Z1JWTP3SVD16,,,,unmatched,5609,3061,115,FL:458;GA:334;CO:273;MI:253;OH:173;NC:169;TN:155;PA:126;IN:115;MO:94,high
549300CUUEEQ66ZVK149,,,,unmatched,3061,1993,111,MO:667;IL:464;KS:153;OH:119;IN:111;WI:90;KY:70;TN:61;GA:56;IA:54,medium
5493007L4GYNO2PUBS09,,,,unmatched,3256,1295,109,MI:318;TX:156;GA:146;IL:110;IN:109;WA:89;PA:65;FL:44;NJ:35;OR:29,medium
254900FBWEZ3YUPOBN33,,,,unmatched,3876,2305,101,FL:269;NC:262;VA:149;SC:137;GA:131;TN:130;TX:120;OH:114;PA:108;IN:101,high
549300X8AUU3UC1ULZ79,,,,unmatched,2320,1278,101,TX:304;OH:288;KY:279;TN:107;IN:101;NC:87;VA:65;FL:47,high
549300YW2UBCMDRMBT48,,,,unmatched,4966,3953,99,NY:644;OH:587;NC:562;PA:364;TN:272;VA:190;GA:180;FL:177;SC:160;IN:99,high
549300XED7IBK9VVQH70,,,,unmatched,3799,2898,99,DE:1176;TX:273;KY:273;PA:136;NY:114;CO:105;IN:99;VI:84;MD:83;CA:75,high
5493005JPZ3LXXMB0S24,,,,unmatched,8168,6000,98,FL:2916;SC:805;AL:319;NC:313;TX:270;GA:262;KY:208;AZ:206;CA:130;IN:98,high
549300C8GOC4OYUV0Z32,,,,unmatched,4824,2639,98,MD:270;OH:262;FL:244;TX:183;PA:140;GA:128;NC:127;MO:105;IN:98;MI:96,high
5493007ILDVYNFLDXQ42,,,,unmatched,112,96,96,IN:96,low
549300PH1RMZ3NKH2953,,,,unmatched,325,261,95,KY:164;IN:95;TN:1;NE:1,low
549300Q16CNQMW0O1O02,,,,unmatched,120,103,95,IN:95;KY:8,low
254900YE6JQ826RUVB14,,,,unmatched,117,95,95,IN:95,low
549300TA2979XCT9L593,,,,unmatched,95,95,95,IN:95,low
549300LCSS511JWT1A44,,,,unmatched,115,92,92,IN:92,low
549300KHXD7JSQUZIJ22,,,,unmatched,9519,7038,91,TX:3092;NC:1185;AR:673;TN:487;WA:339;ID:193;FL:138;CO:126;MI:123;IN:91,high
549300NDK40VRDTY4O46,,,,unmatched,104,89,89,IN:89,low
549300G4ESSS6M0MEG51,,,,unmatched,9605,5971,85,IL:1723;CA:1252;WA:895;CO:383;TX:299;NC:292;MD:261;FL:109;IN:85;WY:70,high
254900PS2KU65ZEUOA41,,,,unmatched,105,102,85,IN:85;IL:8;FL:4;MI:2;AZ:1;WI:1;KY:1,low
549300AZBM8V8SE0IT33,,,,unmatched,878,588,83,KY:505;IN:83,medium
549300MOTRV68OSXM837,,,,unmatched,108,81,81,IN:81,low
54930031L785BSBDTE46,,,,unmatched,109,107,79,IN:79;OH:28,low
54930035C68SRQ1RS395,,,,unmatched,110,80,79,IN:79;IL:1,low
549300W4FT4H1UWPGU95,,,,unmatched,21756,15699,78,IA:10661;IL:3954;MI:329;WI:190;NE:148;IN:78;OH:48;AZ:38;MO:33;CO:33,high
549300S8SHBRCI7UU819,,,,unmatched,5563,3223,76,IL:917;MN:494;CA:229;FL:150;WI:118;NC:115;OH:89;GA:88;IN:76;TN:75,high
2549008LUH7QKMXQ8N53,,,,unmatched,1648,1140,76,IL:297;MO:278;IA:176;PA:97;IN:76;CO:43;MT:31;TX:25;MN:21;AR:17,medium
549300GGXWS23NTTOB96,,,,unmatched,332,244,75,KY:168;IN:75;AL:1,low
549300K6I4IZA57BON59,,,,unmatched,77,76,75,IN:75;AZ:1,low
25490053IH908EDF8D65,,,,unmatched,94,75,75,IN:75,low
549300LWP1GP6WN1YQ84,,,,unmatched,76,74,74,IN:74,low
549300TDS8QNL4IOOX73,,,,unmatched,106,71,71,IN:71,low
549300KILAW2M87QR043,,,,unmatched,91,70,68,IN:68;IL:2,low
549300IX6RAX31C1BI75,,,,unmatched,1252,247,66,IN:66;KY:57;MI:20;NC:19;OH:19;FL:17;VA:16;GA:10;MD:8;IA:8,low
549300AENO88GEUWCZ39,,,,unmatched,1280,846,65,MN:142;IN:65;CO:58;FL:56;CA:52;OK:39;KY:36;TX:34;DE:27;WI:26,medium
254900HUD7SD8U5L3C11,,,,unmatched,89,65,65,IN:65,low
254900RFZH9I62FGU045,,,,unmatched,2305,1681,62,MS:546;TX:362;KS:298;OK:222;MO:111;IN:62;AR:23;FL:14;WA:8;GA:7,medium
254900PEMVJN4DS4MS43,,,,unmatched,81,59,59,IN:59,low
549300O7SGM8FH65GQ47,,,,unmatched,2070,1481,58,IL:1204;MO:86;FL:58;IN:58;OK:21;KS:19;CO:11;AZ:7;MI:4;CA:2,medium
549300DRA4BDXW23LD45,,,,unmatched,2210,1609,54,MN:624;WI:301;IL:93;MT:72;IN:54;IA:47;NE:45;OH:42;OK:40;SD:29,medium
549300Z0OW7UDR5F5Z46,,,,unmatched,57,54,54,IN:54,low
254900F9ZTVTX763V835,,,,unmatched,3196,2432,53,NJ:1831;FL:210;PA:148;VT:61;IN:53;NY:29;CA:19;NC:17;SC:14;CT:8,high
549300KQHWNSVCE2MY88,,,,unmatched,1746,1219,53,TX:125;TN:91;NC:65;CA:58;GA:53;IN:53;FL:49;MN:47;OH:46;VA:46,high
2549008F85XOERURYW13,,,,unmatched,155,78,53,IN:53;IL:25,low
549300RWXUAFD1WAE410,,,,unmatched,16717,13070,52,NC:6049;VA:4244;SC:955;GA:731;KY:389;FL:221;MD:169;AL:134;TN:63;IN:52,high
5493008P6YO2KM3EO556,,,,unmatched,5493,4084,52,MI:2600;NY:372;CA:172;VA:153;MD:117;FL:81;CT:70;MA:55;KY:54;IN:52,high
549300KJKBXR3PD3QQ56,,,,unmatched,1332,948,52,OH:748;NC:54;IN:52;SC:31;PA:27;GA:14;KY:13;FL:6;DE:2;NJ:1,medium
549300ENNFGLHCMQ1U82,,,,unmatched,3023,2310,52,KY:1396;OH:823;IN:52;FL:16;SC:6;CO:3;TN:2;MI:2;IL:2;VA:2,medium
549300PJ2WT35S77Q208,,,,unmatched,2564,1526,51,IL:307;WI:186;OH:145;FL:106;PA:65;MI:64;TX:62;MO:56;IN:51;KY:45,medium
5493000KJ6VEEFTSNI20,,,,unmatched,339,293,51,IL:240;IN:51;AZ:1;MI:1,low
984500CD6F0743B8F530,,,,unmatched,1261,998,50,GA:124;OH:116;PA:74;FL:61;IN:50;TN:49;NC:48;IL:42;VA:37;MI:32,medium
54930021DZJ9CEN11D61,,,,unmatched,2604,1550,48,AL:309;FL:185;GA:184;TN:124;OH:99;NV:96;KY:77;MI:58;IN:48;NJ:39,high
549300YB1H2FRI6JPM51,,,,unmatched,18732,14279,47,MI:12864;FL:1196;OH:66;IL:61;IN:47;WI:33;TN:3;SC:3;MN:2;NC:1,high
984500P059VACEAAFA22,,,,unmatched,1434,875,47,IL:170;TX:127;NC:111;MD:62;IN:47;CA:38;WI:32;OH:30;FL:28;GA:24,medium
549300T3JUQ02E9W8I27,,,,unmatched,62,46,46,IN:46,low
549300PEWJWBNEOSS013,,,,unmatched,1864,1297,45,OH:324;FL:163;MD:138;OR:96;NJ:71;NC:62;IN:45;VA:42;KY:40;DE:39,medium
2549002F2MBMPG0YSQ20,,,,unmatched,57,43,43,IN:43,low
254900TSA1PSM0OS4798,,,,unmatched,122,114,42,OH:66;IN:42;MI:2;FL:2;NV:1;AZ:1,low
5493006P5IHSK77SZ855,,,,unmatched,2615,1740,41,TX:668;TN:193;AL:175;OK:126;LA:125;MS:77;MI:51;WA:46;NM:44;IN:41,high
