lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,md_originations,states_with_originations,priority_match
549300J0CKZA0PR2DX58,,,,unmatched,527,369,50,PA:197;VA:84;MD:50;DE:27;NJ:5;DC:3;SC:2;FL:1,medium
5493005NXMQ7SP5TOF96,,,,unmatched,198,122,48,VA:61;MD:48;DE:13,low
549300CHR7TPQ6LLXG47,,,,unmatched,3999,2962,47,VA:2701;NC:214;MD:47,medium
549300P1ORVTMT2T7756,,,,unmatched,111,87,47,MD:47;VA:19;DC:16;MI:1;TX:1;IL:1;PA:1;NJ:1,low
549300HRLROF7PLJ6735,,,,unmatched,4575,2742,46,CA:898;FL:661;TX:286;GA:157;WA:61;TN:59;AZ:57;UT:47;MD:46;NV:44,high
5493007CLWQN2S6IZK91,,,,unmatched,2313,1339,46,VA:128;TX:115;KS:88;MO:71;NC:67;FL:61;AZ:59;GA:55;CA:48;MD:46,medium
549300PPKM4YL2GY3713,,,,unmatched,190,109,44,MD:44;VA:30;DC:6;WV:4;FL:3;NC:3;OH:3;NY:2;SC:2;PA:2,low
549300PFJ7GCGDLB2E65,,,,unmatched,2560,1736,43,GA:836;TX:302;IN:185;FL:95;LA:76;NV:58;MD:43;SC:23;MO:23;VA:21,high
254900O28OG3UMHXQY81,,,,unmatched,1454,705,43,TX:92;VA:86;FL:77;CA:66;NC:56;MD:43;WA:39;PA:34;SC:28;AZ:27,medium
549300TYV7NDBX6FUR63,,,,unmatched,8266,5290,42,TX:1788;FL:1267;NC:785;SC:638;CO:317;GA:270;TN:160;MD:42;AZ:12;AL:6,high
549300ELLMUEKP1JHB70,,,,unmatched,264,225,42,VA:72;MD:42;TX:27;CA:16;NJ:16;NV:10;GA:9;FL:9;IL:7;WA:3,medium
549300RPUEZ5IC514S19,,,,unmatched,78,47,42,MD:42;DE:4;FL:1,low
549300MKTQIOL1FBNZ12,,,,unmatched,59,46,40,MD:40;PA:4;DE:2,low
2549005Q4HZ55QX7YC64,,,,unmatched,909,696,37,CA:249;TX:151;MD:37;AZ:33;VA:26;WA:23;FL:21;NV:19;NC:18;MA:14,medium
213800KVD76WKI6PN868,,,,unmatched,3218,2029,37,VA:1645;NC:215;FL:43;SC:39;MD:37;GA:26;PA:10;OH:8;DC:6,medium
2549003Z8R5QM0WPS603,,,,unmatched,118,115,36,VA:37;DC:37;MD:36;FL:2;ME:2;DE:1,low
2549000BG2198NFS0K59,,,,unmatched,44,37,35,MD:35;PA:2,low
549300TK6RZQSFXZHV09,,,,unmatched,2683,1473,34,MI:532;FL:157;PA:110;CA:108;NC:75;OH:68;AZ:54;IN:38;MD:34;TX:32,high
549300BWFA5UY7H4WJ62,,,,unmatched,2298,1845,34,VA:1514;NC:198;WV:52;MD:34;SC:19;FL:10;MS:6;GA:4;PA:3;TN:2,medium
254900LTD432L5CHIZ48,,,,unmatched,3885,1963,33,CA:920;FL:228;MN:130;VA:101;TX:100;GA:64;AZ:51;OH:48;NJ:39;MD:33,high
254900HIDMT4ZG09RP47,,,,unmatched,379,273,33,MD:33;TX:26;GA:24;FL:23;NC:20;AL:17;IL:16;OK:15;IN:15;TN:13,medium
549300P5JG6WBCSZ7M53,,,,unmatched,159,68,33,MD:33;VA:17;DC:5;FL:3;GA:2;NC:2;PA:2;SC:1;IL:1;KS:1,low
5493008E3WZYM5146L29,,,,unmatched,977,692,32,PA:606;WV:47;MD:32;VA:2;NJ:2;NC:1;SC:1;DE:1,high
549300AT7S7TRS2KSX88,,,,unmatched,419,248,32,FL:207;MD:32;TX:5;VA:3;DC:1,medium
5493002Z2Z7DV758IU60,,,,unmatched,430,284,32,VA:217;MD:32;WV:21;FL:2;DC:2;NJ:1;IN:1;TX:1;OH:1;NC:1,low
5493003XUOO66TL0ZM91,,,,unmatched,42,32,32,MD:32,low
R7JQ9JTCFHXBQU4XIT26,,,,unmatched,1233,764,31,PA:628;NJ:78;MD:31;DE:11;FL:8;GA:2;NC:1;ME:1;TX:1;IL:1,high
549300KNZ6E1MM7RQQ04,,,,unmatched,585,411,31,WV:364;MD:31;PA:10;SC:2;OH:2;KY:1;NC:1,low
549300D4ZYLSQ5LMTV35,,,,unmatched,4352,2965,29,NJ:1569;PA:399;FL:338;NY:298;OH:85;DE:75;SC:49;TN:30;MD:29;CT:23,high
254900YZ174H294JW398,,,,unmatched,3561,2788,29,TX:869;CA:709;AZ:376;NC:279;NV:177;WA:177;VA:96;CO:62;MD:29;DC:8,high
254900DRSIZBQXDCJ875,,,,unmatched,2409,2409,28,FL:590;CA:463;TX:382;GA:205;NC:175;TN:85;PA:70;VA:61;OH:53;MD:28,high
549300LI3FDGO7UKFF39,,,,unmatched,2628,1602,28,NY:808;NJ:146;SC:102;FL:97;PA:93;OH:83;CT:53;MD:28;GA:24;VA:22,high
549300VGMMXKSX821O69,,,,unmatched,951,539,28,NY:339;FL:72;MD:28;NJ:24;IL:14;PA:12;CT:9;SC:7;NC:7;TX:6,medium
254900UD8AEXTVCVAF72,,,,unmatched,306,202,28,MO:29;MD:28;OH:21;IN:18;IL:16;VA:14;KY:14;IA:10;AL:9;TN:8,low
549300BM1JKSQR7HI756,,,,unmatched,45,34,28,MD:28;PA:3;WV:2;DC:1,low
549300OOBQV34V3WL383,,,,unmatched,909,517,27,VA:443;NC:37;MD:27;DE:10,medium
5493002N5168AC238149,,,,unmatched,3613,2638,26,NJ:2071;PA:289;FL:42;VA:35;MD:26;TX:26;NY:25;NC:17;CT:13;SC:12,high
5493001FKX0BM8GN6P73,,,,unmatched,553,401,26,NY:126;NJ:79;CA:74;PA:50;MD:26;VA:17;GA:17;TX:10;IL:2,medium
549300YMV5FVP7DXOG44,,,,unmatched,200,117,26,VA:80;MD:26;DC:6;KY:2;FL:1;PA:1;MA:1,low
254900FE6QJXGH3VIA90,,,,unmatched,49,38,26,MD:26;WV:9;PA:3,low
254900ZUMZZ6CZKH7X17,,,,unmatched,48,46,26,MD:26;WV:20,low
549300029HOKG1DFPD77,,,,unmatched,31,29,25,MD:25;WV:2;PA:2,low
549300JEBZPKAD7H6427,,,,unmatched,33,28,25,MD:25;PA:2;DE:1,low
5493003BXKRGHQHRJV38,,,,unmatched,1170,684,24,FL:375;GA:200;MD:24;VA:16;NC:14;MA:11;AZ:5;TX:5;TN:4;AL:4,high
