company_nmls_id,legal_name,source_families,source_record_keys
1185931,"ENOTIVA LENDING SOLUTIONS, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1576|FL|NMLS|MBR|MBR1576
1186374,"MODER SOLUTIONS, LLC",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1413|FL|NMLS|MLS|MLD1413
1186381,CBC MORTGAGE AGENCY,monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2597|FL|NMLS|MLS|MLD2597
1186438,MEDFORD MORTGAGE LLC,monthly_mbr,FL|MONTHLY|MBR|MBR2113|FL|MONTHLY|MBR|MBR6154
118657,"PFS, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR5792|FL|NMLS|MBR|MBR5792
1187,"STEPSTONE MORTGAGE COMPANY, INC.",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2248|FL|NMLS|MLD|MLD2248
118731,FIDELITY FIRST HOME MORTGAGE COMPANY,monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2068|FL|MONTHLY|MLD|MLD2586|FL|MONTHLY|MBR|MBR1584|FL|NMLS|MBR|MBR1584|FL|NMLS|MLD|MLD2586
1187732,BEAR MORTGAGE INC.,monthly_mbr,FL|MONTHLY|MBR|MBR6481
118776,"CODY FINANCIAL MORTGAGE SERVICES, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR7191|FL|NMLS|MBR|MBR7191
1188063,"PREMIER ONE LENDERS, INC.",monthly_mbr|monthly_mld,FL|MONTHLY|MLD|MLD1590|FL|MONTHLY|MBR|MBR1580
11882,"COAST TO COAST LENDING GROUP, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1846
1188467,PINNACLE MORTGAGE SOLUTIONS INC.,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR4561|FL|NMLS|MBR|MBR4561
1188478,NEXTON FINANCIAL INC,monthly_mbr,FL|MONTHLY|MBR|MBR1616|FL|MONTHLY|MBR|MBR3244
1188487,"GATEWAY FINANCIALS, LLC",monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1125|FL|MONTHLY|MBR|MBR1831|FL|NMLS|MBR|MBR1831
