lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,de_originations,states_with_originations,priority_match
549300F1COXL6UBFCP55,,,,unmatched,578,519,4,NY:448;FL:21;NJ:19;TX:5;DE:4;CT:4;PA:3;IN:2;OH:2;CO:1,medium
549300GMP8EYQD4U6Z40,,,,unmatched,470,388,4,PA:350;NJ:30;DE:4;FL:3;NY:1,medium
254900VXX8ZL7L9EX282,,,,unmatched,438,383,4,PA:357;NJ:16;MD:5;DE:4;FL:1,medium
549300QY4UCP33T94N09,,,,unmatched,502,340,4,NY:240;PA:32;CT:23;FL:17;NJ:15;SC:7;DE:4;NC:1;MA:1,medium
549300YV3F7WA813QL95,,,,unmatched,86,82,4,PA:76;DE:4;NJ:2,medium
894500LIN378M3LLE796,,,,unmatched,143,57,4,NJ:32;MD:21;DE:4,low
5493009TOEDMWVNG1442,,,,unmatched,62,23,4,PA:17;DE:4;NJ:2,low
549300X7J20OLLSGTZ36,,,,unmatched,401,163,4,MD:152;VA:5;DE:4;PA:2,low
254900W5FH4XO4DKJB28,,,,unmatched,97,67,4,MD:61;DE:4;DC:1;NC:1,low
549300MPX7PJGFD8HA09,,,,unmatched,99,80,4,MD:75;DE:4;FL:1,low
549300RPUEZ5IC514S19,,,,unmatched,78,47,4,MD:42;DE:4;FL:1,low
25490053H6JWQDX4RM47,,,,unmatched,1294,852,3,PA:846;NJ:3;DE:3,high
549300JNYMHRVCGKK706,,,,unmatched,556,382,3,PA:337;NJ:42;DE:3,medium
9845001ADACA7A75EE02,,,,unmatched,363,202,3,PA:162;VA:12;NC:12;NJ:9;OK:3;DE:3;CO:1,medium
549300S347HTLHLOC775,,,,unmatched,1468,134,3,NY:38;PA:28;NJ:28;CT:16;FL:12;SC:5;DE:3;NC:1;CO:1;GA:1,medium
254900DNPJINSUKFZ002,,,,unmatched,1838,1299,3,IN:1104;MI:84;AZ:40;IL:17;CA:11;TX:6;FL:5;OH:3;DE:3;MO:3,medium
25490040IBIKTOL1DJ85,,,,unmatched,45,45,3,PA:33;NJ:8;DE:3;MD:1,low
549300B7GCPQ437Y5E78,,,,unmatched,47,41,3,PA:32;NJ:6;DE:3,low
549300AN5V81GRYDJ823,,,,unmatched,228,99,3,MD:53;VA:10;PA:9;DC:6;NJ:4;DE:3;NC:3;FL:3;MO:2;UT:1,low
5493007KLU19FK8PG279,,,,unmatched,285,169,3,MD:115;VA:15;DC:10;NC:10;WV:6;DE:3;GA:2;PA:2;IL:2;OH:2,low
54930089Y8VTOF8RPD25,,,,unmatched,902,682,2,NJ:538;PA:132;FL:5;DE:2;NC:2;SC:2;VT:1,high
549300I316H4TE334G62,,,,unmatched,619,544,2,PA:478;MD:63;DE:2;VA:1,medium
549300R22XCNNGVXRO22,,,,unmatched,515,414,2,PA:211;NY:117;NJ:50;FL:13;MD:7;CT:4;OH:3;VA:3;DE:2;MI:1,medium
549300GMXZWXNOS1US34,,,,unmatched,337,209,2,NJ:195;PA:4;FL:2;GA:2;NY:2;DE:2;ME:1;SC:1,medium
549300KJKBXR3PD3QQ56,,,,unmatched,1332,948,2,OH:748;NC:54;IN:52;SC:31;PA:27;GA:14;KY:13;FL:6;DE:2;NJ:1,medium
5493004LYI6NSVMGYH15,,,,unmatched,132,105,2,GA:61;NY:16;OH:6;NC:3;TX:3;PA:2;AL:2;DE:2;CT:2;NJ:2,medium
254900OVHD0ZZK65EQ86,,,,unmatched,346,213,2,RI:147;NY:36;MA:19;NJ:7;DE:2;CT:2,medium
254900U38QOOLJB8FS91,,,,unmatched,75,59,2,PA:56;DE:2;FL:1,medium
254900SBY94JVYQ1Y131,,,,unmatched,49,43,2,PA:38;NJ:3;DE:2,low
549300S8CJG5MSY8BH57,,,,unmatched,526,379,2,AR:358;MO:4;OK:4;FL:3;DE:2;IL:2;MA:1;KS:1;MS:1;TN:1,low
54930040I855W2FI0Y80,,,,unmatched,334,313,2,MD:301;PA:6;WV:3;DE:2;VA:1,low
549300MKTQIOL1FBNZ12,,,,unmatched,59,46,2,MD:40;PA:4;DE:2,low
549300XO2MXF3RX56J09,,,,unmatched,94,62,2,MD:57;PA:3;DE:2,low
254900Q6YS0NMCYAH669,,,,unmatched,2096,1564,1,NY:1209;PA:342;CT:8;NJ:4;DE:1,high
549300NWYTCEH9RSSW54,,,,unmatched,2337,1203,1,NY:1182;FL:10;NC:4;CT:3;VT:2;DE:1;NJ:1,high
549300PJX0ZHPQ614C72,,,,unmatched,1506,1020,1,PA:915;NJ:84;NY:16;FL:3;DE:1;DC:1,high
549300T560RY8NY4EY89,,,,unmatched,1346,947,1,PA:941;MD:3;IL:1;FL:1;DE:1,high
549300C0SKCK5G4RX330,,,,unmatched,1084,939,1,PA:938;DE:1,high
5493008E3WZYM5146L29,,,,unmatched,977,692,1,PA:606;WV:47;MD:32;VA:2;NJ:2;NC:1;SC:1;DE:1,high
549300A4SPX2JOQ71791,,,,unmatched,552,525,1,PA:493;NJ:26;SC:2;NC:2;FL:1;DE:1,high
549300NP3DNB1K9Z8513,,,,unmatched,581,262,1,NJ:244;PA:17;DE:1,medium
549300E0WPRCJMXMUM09,,,,unmatched,296,196,1,NY:104;FL:75;NJ:11;TX:2;PA:2;GA:1;DE:1,medium
549300P7T76AWIP6QL35,,,,unmatched,157,129,1,PA:128;DE:1,medium
5493006RLJ90VH94SV71,,,,unmatched,160,124,1,PA:122;DE:1;NC:1,medium
549300ZD18AVSD0OG331,,,,unmatched,147,123,1,NJ:105;FL:15;PA:2;DE:1,medium
54930047YMR4VOMFGS35,,,,unmatched,175,124,1,PA:112;NJ:2;FL:2;NC:2;MI:1;MT:1;DE:1;CT:1;OH:1;MN:1,medium
254900TW0BIDE6JENM80,,,,unmatched,125,102,1,NJ:100;PA:1;DE:1,medium
549300QB357BUUUV7A56,,,,unmatched,148,140,1,VA:58;PA:53;MD:10;DC:8;SC:3;FL:3;NC:2;NY:1;TX:1;DE:1,medium
5493007WZXR2YE227I23,,,,unmatched,199,135,1,NC:65;VA:56;MD:7;SC:3;FL:1;KY:1;WA:1;DE:1,medium
549300L4I0NP22SUIE86,,,,unmatched,95,67,1,PA:60;NJ:6;DE:1,medium
549300L7OFUBO6FHY884,,,,unmatched,73,67,1,PA:54;NJ:9;GA:2;FL:1;DE:1,medium
549300DPWFIO1S3DF358,,,,unmatched,1666,1189,1,OH:1143;NC:12;FL:6;MI:6;IL:6;KY:4;IN:4;SC:3;DE:1;MD:1,medium
5493001VQLW8QLFMIH76,,,,unmatched,50,50,1,NJ:49;DE:1,low
2549003Z8R5QM0WPS603,,,,unmatched,118,115,1,VA:37;DC:37;MD:36;FL:2;ME:2;DE:1,low
549300XA6P3X1GTJEY80,,,,unmatched,109,105,1,MD:74;VA:8;PA:8;TX:2;FL:2;CT:1;IA:1;CA:1;DE:1;TN:1,low
549300XRGNVNCISU8Q79,,,,unmatched,179,82,1,MD:71;VA:2;DC:2;NC:2;NJ:1;AZ:1;PA:1;FL:1;DE:1,low
5493006R3KP9HJOA7613,,,,unmatched,221,159,1,MD:152;DC:3;GA:2;NC:1;DE:1,low
254900APUOKMIQ9Z9027,,,,unmatched,350,143,1,MD:134;PA:5;VA:2;DC:1;DE:1,low
25490041Y3ITG7RD6H37,,,,unmatched,26,22,1,VA:14;FL:2;MD:1;ME:1;CA:1;DC:1;TN:1;DE:1,low
549300JEBZPKAD7H6427,,,,unmatched,33,28,1,MD:25;PA:2;DE:1,low
549300HW662MN1WU8550,,,,unmatched,576697,422119,0,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high
549300FGXN1K3HLB1R50,,,,unmatched,609400,429332,0,CA:42202;FL:31530;TX:30579;MI:22693;GA:21182;NC:18462;OH:16656;PA:16043;VA:14489;NY:13729,high
549300VZVN841I2ILS84,,,,unmatched,190472,125099,0,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high
B4TYDEB6GKMZO031MB27,,,,unmatched,217492,88530,0,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440;WA:3420;IL:2889,high
RVDPPPGHCGZ40J4VQ731,,,,unmatched,193807,100816,0,CA:10749;FL:9704;TX:6849;GA:5272;PA:4488;VA:4338;NC:3751;AZ:3232;NJ:3144;OH:2964,high
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,0,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high
549300AG64NHILB7ZP05,,,,unmatched,155159,91730,0,CA:9983;TX:8535;FL:7460;NJ:4334;IL:4241;GA:4168;AZ:4138;NC:3969;OH:3505;SC:2670,high
5493001SXWZ4OFP8Z903,,,,unmatched,101400,69159,0,TX:17748;FL:11582;NC:5258;SC:4153;GA:2777;CA:2776;AZ:2406;AL:2376;TN:2122;NV:2059,high
DRMSV1Q0EKMEXLAU1P80,,,,unmatched,119620,68902,0,NY:11000;PA:10441;MA:10235;NJ:7208;OH:4732;RI:3762;MI:3697;NH:3194;CT:3030;FL:2297,high
549300H3IZO24NSOO931,,,,unmatched,77363,56951,0,TX:15642;FL:10692;CA:6607;NC:2756;SC:2694;AZ:2623;IN:1952;NV:1669;MN:1365;CO:1283,high
5493003GQDUH26DNNH17,,,,unmatched,179597,80547,0,VA:9684;FL:8416;CA:6361;NC:5249;MD:5163;GA:5118;TX:4267;SC:2487;WA:2289;PA:2141,high
549300GKFNPRWNS0GF29,,,,unmatched,102677,70098,0,TX:10655;WA:5796;CA:4698;FL:4388;TN:3925;PA:2626;NH:2466;MA:2329;VA:2325;NJ:2257,high
549300DD5QQUHO6PCH70,,,,unmatched,178189,82764,0,TX:6918;FL:5506;NC:4769;VA:4500;GA:4139;OH:3302;TN:3178;IL:2965;MO:2901;PA:2643,high
549300U3721PJGQZYY68,,,,unmatched,129086,70579,0,IL:10217;CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;OH:2795;NC:2491;CO:2143,high
549300FNXYY540N23N64,,,,unmatched,187594,66567,0,CA:5772;FL:5643;TX:4793;NY:3123;NC:2787;WA:2702;GA:2480;OH:2258;VA:2175;PA:2124,high
549300LYRWPSYPK6S325,,,,unmatched,165453,69982,0,TX:5759;FL:5374;NC:4463;GA:3946;CA:3918;VA:3646;IN:2580;OH:2477;TN:2436;SC:2168,high
549300DD4R4SYK5RAQ92,,,,unmatched,81084,57781,0,NC:8138;WA:5559;VA:4339;FL:4122;PA:3902;SC:2978;GA:2388;TX:2367;TN:2207;CA:1690,high
AD6GFRVSDT01YPT1CS68,,,,unmatched,116536,61280,0,PA:11263;OH:6725;NJ:5755;IL:3711;FL:3475;MD:2948;TX:2930;MI:2885;IN:2802;CA:2688,high
