lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ia_originations,states_with_originations,priority_match,iowa_originations
549300C70VBQUGXHPR07,,,,unmatched,316,273,9,WI:262;IA:9;IL:2,low,9
549300KCR7QWQQCWBG94,,,,unmatched,216,163,9,SD:145;IA:9;MN:9,low,9
549300SNZET0P5BZ3J56,,,,unmatched,1775,1426,8,IL:1377;FL:10;IN:9;MO:8;IA:8;WI:4;SC:4;TX:2;AZ:2;TN:1,medium,8
549300OZIFHR7THILC90,,,,unmatched,1800,1537,8,MN:1238;WI:229;ND:32;SD:11;IA:8;CO:4;FL:4;NE:3;IL:2;MT:2,medium,8
549300IX6RAX31C1BI75,,,,unmatched,1252,247,8,IN:66;KY:57;MI:20;NC:19;OH:19;FL:17;VA:16;GA:10;MD:8;IA:8,low,8
254900QE8DMX9C02HU80,,,,unmatched,135,125,8,MN:96;SD:18;IA:8;WI:3,low,8
549300XBN09FJNIT5G55,,,,unmatched,40,40,8,NE:32;IA:8,low,8
549300EKCKDF80ZM4V51,,,,unmatched,115,115,7,TX:25;MN:17;CA:8;IA:7;AZ:6;ND:5;NE:5;MT:5;IL:4;SC:3,low,7
2549004XDCE3LGQW7H72,,,,unmatched,242,165,7,MN:35;WI:17;IL:10;FL:9;CA:8;OH:7;IA:7;IN:6;CO:6;TX:6,low,7
549300ZRFLUGALHJF092,,,,unmatched,281,222,7,NE:214;IA:7;MO:1,low,7
549300RK7Q0WLYYRNC19,,,,unmatched,107,54,7,SD:47;IA:7,low,7
549300OZ8A612R2D8J95,,,,unmatched,26,22,7,SD:15;IA:7,low,7
549300EWFHPBZH38K695,,,,unmatched,1985,1390,6,WI:653;MN:485;IL:199;TX:23;IA:6;MI:5;ND:3;AL:2;MO:2;KY:2,medium,6
5493007YN2BYYXCI7W64,,,,unmatched,1465,650,6,SD:494;MN:93;ND:25;MT:10;NE:10;WY:9;IA:6;IN:1;ME:1;CO:1,medium,6
5493000B61DDZ2PG1515,,,,unmatched,183,106,6,TX:44;CO:33;IL:17;IA:6;NM:3;KS:2;AZ:1,low,6
01ERPZV3DOLNXY2MLB90,,,,unmatched,150,121,6,IL:55;CA:21;FL:7;WI:7;IA:6;MT:5;AZ:4;MN:3;MI:3;ND:2,low,6
5493003EAJYUK1F8B139,,,,unmatched,42,42,6,IL:31;IA:6;WI:1;FL:1;MO:1;AZ:1;IN:1,low,6
254900RND4J0SY320F06,,,,unmatched,48,37,6,MN:26;IA:6;IL:2;SD:2;PA:1,low,6
