lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,wisconsin_originations,florida_originations,total_originations,priority_match,notes
549300HVW3AI97UKTO72,Wings Financial Credit Union,,wings-financial-credit-union,Wings Financial Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,213,0,213,medium,wi_mn_curated map for WI activity (213 WI originations); slug=wings-financial-credit-union.
549300MZ8VZJOVC63092,"KIND LENDING, LLC",3925,kind-lending,"Kind Lending, LLC",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,206,0,206,medium,reuse_prior_state_curated_lei map for WI activity (206 WI originations); slug=kind-lending.
549300R9S3MVDV4MGF56,"CARRINGTON MORTGAGE SERVICES, LLC",2250,carrington-mortgage,"Carrington Mortgage Services, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_alt_lei+company_nmls,206,0,206,medium,reuse_prior_state_curated_lei map for WI activity (206 WI originations); slug=carrington-mortgage.
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+gleif_name_to_directory,198,931,198,medium,reuse_prior_state_curated_lei map for WI activity (198 WI originations); slug=primelending-columbus.
254900HA4DQWAE0W3342,"AMERIHOME MORTGAGE COMPANY, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+ga_curated_alt_lei+company_nmls,192,0,192,medium,reuse_prior_state_curated_lei map for WI activity (192 WI originations); slug=amerihome-mortgage.
549300W4FT4H1UWPGU95,GREENSTATE Credit Union,1495,greenstate-credit-union,GreenState Credit Union,high,reuse_prior_state_curated_lei+il_oh_curated+il_oh_curated_gleif+public_nmls,190,0,190,medium,reuse_prior_state_curated_lei map for WI activity (190 WI originations); slug=greenstate-credit-union.
C5654JQHZUHN0772B561,USAA Federal Savings Bank,399809,usaa-federal-savings-bank,USAA Federal Savings Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,189,825,189,medium,reuse_prior_state_curated_lei map for WI activity (189 WI originations); slug=usaa-federal-savings-bank.
549300RN01LBYR8ZVX74,"LOWER, LLC",1124061,lower,"Lower, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,182,0,182,medium,reuse_prior_state_curated_lei map for WI activity (182 WI originations); slug=lower.
549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,158,1004,158,medium,reuse_prior_state_curated_lei map for WI activity (158 WI originations); slug=better-mortgage.
549300SUCQ1358EGVE89,"NEW DAY FINANCIAL, LLC",1043,new-day-financial,"New Day Financial, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+sc_curated+sc_curated_gleif+public_nmls,150,0,150,medium,reuse_prior_state_curated_lei map for WI activity (150 WI originations); slug=new-day-financial.
