year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MO,549300T7AIY7RU1YDP31,,425,254,29095:66; 29047:34; 29177:27; 29117:15; 29005:12,219,23,7,5,0,86.22,9.06,2.76,national
2025,MO,549300MU6FQRPD7FPQ11,,285,252,29195:63; 29107:42; 29031:41; 29159:29; 29091:8,252,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300VORTI31GZTJL53,"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",370,247,29095:52; 29213:25; 29077:21; 29189:19; 29099:15,122,102,23,0,0,49.39,41.3,9.31,national
2025,MO,549300370QILXLFUWD20,"ZILLOW HOME LOANS, LLC",342,243,29189:49; 29095:38; 29510:22; 29183:19; 29047:10,185,51,7,0,0,76.13,20.99,2.88,national
2025,MO,549300GRGZDEH4ZGQS06,WATERSTONE MORTGAGE CORPORATION,322,235,29095:136; 29047:28; 29037:21; 29165:16; 29107:9,157,62,16,0,0,66.81,26.38,6.81,national
2025,MO,549300TAWK59H74PXZ55,,295,234,29023:34; 29181:34; 29223:30; 29179:22; 29215:15,234,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300OSS620JYU5KR81,,268,231,29099:92; 29189:75; 29510:41; 29183:14; 29071:5,226,3,0,2,0,97.84,1.3,0.0,national
2025,MO,549300W5A6PQ1VJG3497,,307,230,29095:121; 29047:46; 29165:22; 29037:21; 29101:6,222,8,0,0,0,96.52,3.48,0.0,national
2025,MO,254900RUCO27MVGTO768,LOAN FUNDER LLC,444,217,29095:123; 29189:55; 29510:22; 29021:6; 29037:3,217,0,0,0,0,100.0,0.0,0.0,national
2025,MO,LDVFX8JEECFFE8HRWA73,,319,215,29095:141; 29037:25; 29047:15; 29165:9; 29029:4,210,4,1,0,0,97.67,1.86,0.47,national
2025,MO,5493004Z2SGQGCU5RB44,,224,214,29189:53; 29071:37; 29099:20; 29219:20; 29510:18,214,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300J6N77Q8OHYNF23,,290,214,29189:49; 29095:48; 29183:34; 29047:20; 29510:16,150,46,16,2,0,70.09,21.5,7.48,national
2025,MO,X05BVSK68TQ7YTOSNR22,Discover Bank,1312,214,29189:41; 29095:25; 29183:25; 29047:22; 29077:12,214,0,0,0,0,100.0,0.0,0.0,national
2025,MO,254900CTT87ZKAUTIJ37,,314,208,29510:70; 29095:65; 29189:54; 29077:4; 29021:3,208,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493003IRCQIQ6T3QS04,,233,208,29207:54; 29031:51; 29201:32; 29077:32; 29167:7,182,0,0,26,0,87.5,0.0,0.0,national
2025,MO,254900HA4DQWAE0W3342,"AMERIHOME MORTGAGE COMPANY, LLC",355,204,29095:34; 29183:17; 29077:15; 29047:12; 29037:12,54,145,5,0,0,26.47,71.08,2.45,national
