lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ks_originations,states_with_originations,priority_match
21380055IMHX3N5UL146,,,,unmatched,84,45,44,KS:44;OK:1,low
549300GE25F2CW7RV063,,,,unmatched,46,43,43,KS:43,low
549300HSEF434P70U240,,,,unmatched,45,43,43,KS:43,low
549300M8WGW2D17CZD19,,,,unmatched,3467,2666,42,TX:1580;AZ:284;UT:203;FL:190;OK:172;GA:69;KS:42;SC:39;TN:17;CO:10,high
984500RF83EA742B5589,,,,unmatched,987,622,42,OK:59;MO:53;TX:49;TN:49;NJ:46;KS:42;FL:38;OH:34;CA:33;PA:28,medium
2549003L98A6Z3YX9T46,,,,unmatched,56,43,42,KS:42;MO:1,low
5493001HOQL7ZEKTRZ55,,,,unmatched,96,54,40,KS:40;MO:10;OK:2;AR:1;TX:1,low
549300BGTO2X0ZFZVC45,,,,unmatched,42,41,40,KS:40;OK:1,low
549300JYEEYQ3BXVCX06,,,,unmatched,45,41,40,KS:40;MO:1,low
5493006ZMPVXXUIKYH60,,,,unmatched,53,41,39,KS:39;MO:2,low
549300XXQGH86HT5JF25,,,,unmatched,40,38,38,KS:38,low
549300HO7BEGRS02VS53,,,,unmatched,41,37,37,KS:37,low
R6KJ2D7C3UT8OVTWHS39,,,,unmatched,1996,1487,35,NE:1373;KS:35;IA:19;MO:18;CO:13;AZ:6;MN:3;TX:3;SD:3;IN:2,medium
5493001J5Z6NXCZKQR68,,,,unmatched,114,35,34,KS:34;OK:1,low
254900ZVK94NEC553D12,,,,unmatched,42,34,34,KS:34,low
54930058NMHTLEZ3C025,,,,unmatched,101,61,33,KS:33;MO:28,low
54930039IUN6515TBG78,,,,unmatched,2090,1504,32,GA:517;NY:292;TX:167;CO:153;NJ:103;CA:52;FL:47;KS:32;AZ:31;IL:17,high
549300QLO8TSQW5JTK72,,,,unmatched,2807,2409,31,NE:1724;IA:452;SD:44;CO:44;KS:31;WY:27;MO:25;AR:15;ND:14;TX:7,medium
254900JTDI619PKQ5A82,,,,unmatched,40,37,30,KS:30;MO:6;FL:1,low
254900995FB5NC7SSE05,,,,unmatched,32,30,29,KS:29;MO:1,low
549300NFA0VY9215VV25,,,,unmatched,897,463,27,MO:255;FL:63;TX:48;KS:27;CO:19;AR:18;OK:11;GA:10;NC:9;TN:1,medium
254900QXGTL5RYZXK761,,,,unmatched,97,89,26,MO:60;KS:26;TN:1;TX:1;CA:1,low
54930023OB56DYOL3G92,,,,unmatched,100,80,26,MO:54;KS:26,low
549300W6UP8EY0KSBG85,,,,unmatched,70,70,25,KS:25;CO:7;GA:5;MO:5;NC:4;FL:4;IN:2;MA:2;AZ:2;TX:2,low
549300QP3NKC4EY4SD85,,,,unmatched,37,37,25,KS:25;MO:10;TN:1;MN:1,low
549300Q8R70WLHGFLX73,,,,unmatched,200,146,25,MO:108;KS:25;OK:10;AR:3,low
549300BIN8FZ4Z1IX347,,,,unmatched,37,27,25,KS:25;MO:2,low
549300DHRESF8KLNP162,,,,unmatched,780,618,24,MO:588;KS:24;OK:4;AR:2,medium
254900NKP8DU1TIVDM92,,,,unmatched,24,24,24,KS:24,low
549300O7SGM8FH65GQ47,,,,unmatched,2070,1481,19,IL:1204;MO:86;FL:58;IN:58;OK:21;KS:19;CO:11;AZ:7;MI:4;CA:2,medium
549300EES32R2VOEK894,,,,unmatched,589,402,19,IA:98;WI:90;IL:88;OH:53;IN:31;KS:19;MI:15;MO:7;NE:1,low
549300NB3SBC1KHAWB92,,,,unmatched,5621,4133,17,MO:1690;NE:537;FL:434;IA:427;KY:328;AR:243;IL:195;TN:186;CO:24;KS:17,high
K0ZDN2CBIQC0EHBKNK35,,,,unmatched,292,186,17,MO:111;NM:34;KS:17;CA:13;AZ:5;CO:2;TX:2;IL:1;NV:1,low
549300KZ01YWJR4OIS58,,,,unmatched,20,17,17,KS:17,low
549300WKFR15017V9850,,,,unmatched,1615,1165,16,CO:516;MN:197;MO:171;CA:99;ME:66;WA:23;KS:16;FL:14;WI:8;AZ:7,medium
549300NZI0KZUW6HBT60,,,,unmatched,54,36,16,KS:16;CO:9;OK:6;TX:2;TN:2;NE:1,low
54930023DLYUOD6GKQ42,,,,unmatched,595,436,15,MO:414;KS:15;FL:2;MS:1;AR:1;OH:1;CO:1;NE:1,low
549300DF7LT6VI5BQC34,,,,unmatched,555,461,14,MO:430;KS:14;OK:7;AR:4;FL:4;TX:1;CO:1,low
549300KQQRECSLK8ID57,,,,unmatched,2890,2520,13,MI:2473;KS:13;FL:9;NC:8;AL:5;TX:4;OH:4;IL:3;SC:1,medium
54930032OCUOR526IR93,,,,unmatched,566,374,12,MS:123;GA:24;PA:21;FL:18;KY:14;AZ:13;KS:12;MO:10;TN:10;NC:9,medium
5493002YXAOJOQPEGS38,,,,unmatched,584,238,12,MO:35;TX:32;AZ:27;FL:21;KS:12;NC:11;IL:11;VA:10;NE:10;TN:9,medium
5493008S3V47SHFD8R45,,,,unmatched,163,126,12,OK:54;TX:54;KS:12;MO:4;CO:2,medium
5493007ASPHNTEYEZ797,,,,unmatched,1300,1018,11,AR:336;OK:324;TX:188;AL:157;KS:11;MO:2,medium
549300IEIM2IT5YK4368,,,,unmatched,2063,1573,11,AR:1415;MO:126;KS:11;OK:9;TX:4;HI:1;TN:1;CO:1;KY:1;WI:1,medium
549300ABEFRFKC9S8368,,,,unmatched,2269,1405,11,CO:1364;NM:12;KS:11;UT:6;WY:4;NE:4;MT:2;ID:2,medium
549300V71V12DS7RW675,,,,unmatched,848,449,10,OK:439;KS:10,low
