lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
549300MQEDQYDJR8CP22,,,,unmatched,622,268,41,FL:41;TX:41;GA:36;TN:27;CA:24;NJ:22;NY:22;PA:20,high
549300SBA6BX8HZZF585,,,,unmatched,1048,786,40,CA:565;TX:100;GA:55;FL:40;MA:23;PA:2;NY:1,high
549300ASFUWYQO0RW077,,,,unmatched,354,277,40,NY:51;TX:49;FL:40;NJ:31;NC:26;PA:21;SC:19;GA:17,high
54930015645SYPOM7220,,,,unmatched,632,465,39,TN:258;GA:114;FL:39;CA:36;NC:18,high
984500RF83EA742B5589,,,,unmatched,529,315,38,TX:49;TN:49;NJ:46;FL:38;CA:33;PA:28;NY:26;NC:20,high
5493009D2COWW65B8673,,,,unmatched,704,315,37,CA:250;FL:37;TX:7;SC:4;NY:4;TN:3;PA:3;DC:2,high
549300LXKO1O7CSK5J52,,,,unmatched,1186,947,36,TX:675;TN:129;NC:44;SC:37;FL:36;GA:17;CA:5;PA:4,high
254900TM81D0YC1B9584,,,,unmatched,1308,1161,35,NY:576;PA:215;GA:204;NJ:60;FL:35;TX:29;NC:14;SC:12,high
549300HCNXMTNGIMAR91,,,,unmatched,1291,934,34,NY:244;NJ:232;MA:167;NC:67;GA:44;CA:41;DC:35;FL:34,high
2549009X2AG1P20YAJ63,,,,unmatched,1435,479,34,CA:299;NY:38;FL:34;TX:23;NJ:19;NC:13;GA:13;TN:13,high
254900378RFGMBEKAF12,,,,unmatched,538,315,34,NC:109;GA:38;TX:37;FL:34;SC:33;TN:32;CA:19;PA:7,high
MMO6VV34TNP4Z1T8NG83,,,,unmatched,352,285,34,NC:109;GA:68;SC:64;FL:34;TX:8;NY:1;PA:1,high
549300JRDGV1559XM376,,,,unmatched,381,228,34,TX:59;TN:59;CA:45;FL:34;NC:21;GA:5;SC:3;NJ:2,high
254900A1LV2U6NM10498,,,,unmatched,482,337,33,CA:235;FL:33;NC:14;PA:13;TX:13;GA:11;TN:8;NY:5,high
549300ZOBXG0DT4I6U54,,,,unmatched,430,278,33,NJ:176;NY:45;FL:33;PA:16;TX:4;GA:1;NC:1;SC:1,high
54930020YWIK7HGH2R34,,,,unmatched,4569,3141,32,TX:2983;TN:79;NC:38;FL:32;GA:9,high
593C3GZG957YOJPS2Z63,,,,unmatched,4770,2957,32,CA:2576;NY:146;TN:73;NJ:35;FL:32;TX:23;MA:16;GA:14,high
2549004CU9LAM5CYA280,,,,unmatched,960,668,32,NJ:315;TX:84;NC:80;PA:40;CA:40;FL:32;GA:29;SC:17,high
5493009XSE00M8B9R434,,,,unmatched,2237,220,32,TX:159;FL:32;SC:15;NC:10;GA:4,high
549300ZN5MIVRMVHJS09,,,,unmatched,2528,2043,31,GA:1932;SC:41;FL:31;TN:30;NC:8;TX:1,high
635400IW1QMK3FNFF894,,,,unmatched,1267,976,31,PA:652;NJ:226;FL:31;NC:22;SC:11;GA:10;DC:9;NY:5,high
549300YD7XJM19TH5O82,,,,unmatched,497,290,31,CA:124;TX:42;TN:38;FL:31;NC:25;GA:16;SC:6;MA:3,high
QGPGHQ1ENZOOLJRFTH41,,,,unmatched,1089,749,30,PA:657;FL:30;TN:22;DC:17;SC:10;NC:5;GA:3;TX:2,high
5493002QRULT2T40BH09,,,,unmatched,742,317,30,CA:186;TX:51;FL:30;TN:14;GA:10;NC:8;NJ:8;MA:3,high
549300I1HK1BBZLKOB84,,,,unmatched,396,275,30,TX:111;CA:55;FL:30;NY:27;NJ:17;NC:8;GA:8;SC:6,high
5493005NU5BA00C1N451,,,,unmatched,364,258,30,TN:209;FL:30;SC:6;GA:5;NC:5;TX:2;PA:1,high
984500P059VACEAAFA22,,,,unmatched,625,372,28,TX:127;NC:111;CA:38;FL:28;GA:24;SC:19;TN:12;PA:10,high
549300OYEKEORA1GI088,,,,unmatched,1168,910,27,NC:659;TX:92;SC:80;TN:27;FL:27;GA:18;PA:4;CA:2,high
